Train No.	Train Name	Destination	Category	Frequency
11013/11014	Kurla Express	Lokmanya Tilak (T) Mumbai	Express	Daily
12083/12084	Janshatabdi Express	Mayiladuthurai	Janshatabdi	Except Tuesday
12243/12244	Duronto Express	Chennai	Duronto	Except Tuesday
12647/12648	Kongu Express	Hazrat Nizamuddin (New Delhi)	SF Express	Weekly
12671/12672	Nilgiri Express (slip)	Chennai	SF Express	Daily
12673/12674	Cheran Express	Chennai	SF Express	Daily
12675/12676	Kovai Express	Chennai	SF Express	Daily
12679/12680	Intercity Express	Chennai	SF Express	Daily
12681/12682	Chennai Express	Chennai	SF Express	Weekly
12969/12970	Jaipur Express	Jaipur	SF Express	Weekly
16609/16610	Nagercoil Express	Nagercoil	Express	Daily
16611/16612	Tuticorin Express	Tuticorin	Express	Daily
16613/16614	Rajkot Express	Rajkot	Express	Weekly
16615/16616	Chemmozhi Express	Mannargudi	Express	Daily
16617/16618	Rameswaram Express	Rameswaram	Express	Weekly
22475/22476	AC Express	Bikaner	SF Express	Weekly
22609/22610	Intercity Express	Mangalore	SF Express	Daily
