Date	Time	ACC Team	Big Ten Team	Location	Television	Attendance	Winner	Challenge Leader
Tue., Nov. 29	7:00pm	Virginia	#15 Michigan	John Paul Jones Arena • Charlottesville, VA	ESPN2	10564	Virginia (70-58)	ACC (1-0)
Tue., Nov. 29	7:15pm	Georgia Tech	Northwestern	Philips Arena • Atlanta, GA	ESPNU	5619	Northwestern (76-60)	Tied (1-1)
Tue., Nov. 29	7:30pm	Maryland	Illinois	Comcast Center • College Park, MD	ESPN	13187	Illinois (71-62)	Big Ten (2-1)
Tue., Nov. 29	9:00pm	Miami	Purdue	Mackey Arena • West Lafayette, IN	ESPN2	13927	Purdue (76-65)	Big Ten (3-1)
Tue., Nov. 29	9:15pm	Clemson	Iowa	Carver-Hawkeye Arena • Iowa City, IA	ESPNU	10449	Clemson (71-55)	Big Ten (3-2)
Tue., Nov. 29	9:30pm	#4 Duke	#2 Ohio State	Value City Arena • Columbus, OH	ESPN	18809	Ohio State (85-63)	Big Ten (4-2)
Wed., Nov. 30	7:15pm	NC State	Indiana	RBC Center • Raleigh, NC	ESPN2	16597	Indiana (86-75)	Big Ten (5-2)
Wed., Nov. 30	7:15pm	Boston College	Penn State	Conte Forum • Chestnut Hill, MA	ESPNU	4326	Penn State (62-54)	Big Ten (6-2)
Wed., Nov. 30	7:30pm	Florida State	Michigan State	Breslin Student Events Center • East Lansing, MI	ESPN	14797	Michigan State (65-49)	Big Ten (7-2)
Wed., Nov. 30	9:15pm	Virginia Tech	Minnesota	Williams Arena • Minneapolis, MN	ESPN2	10487	Minnesota (58-55)	Big Ten (8-2)
Wed., Nov. 30	9:15pm	Wake Forest	Nebraska	Bob Devaney Sports Center • Lincoln, NE	ESPNU	9769	Wake Forest (55-53)	Big Ten (8-3)
