Title	Developer	Publisher	North America	Europe	Asia	Exclusive
3D Brick Breaker Revolution	Digital Chocolate	DChoc	Yes	Yes	Yes	No
AlphaJax	Marker Metro	Microsoft Studios	Yes	Yes	Yes	No
Angry Birds	Rovio Entertainment	Microsoft Studios	Yes	Yes	Yes	No
Asphalt 5	Gameloft	Microsoft Studios	Yes	Yes	Yes	No
Assassin’s Creed – Altair’s Chronicles HD	Gameloft	Gameloft	Yes	Yes	Yes	No
Avatar Gadgets	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	Yes
Battleship	Electronic Arts	Electronic Arts	Yes	Yes	Yes	No
Battlewagon	Ironsun Studios	Ironsun Studios	Yes	Yes	Yes	Yes
Beards & Beaks	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	Yes
Bejeweled LIVE	PopCap	PopCap Games	Yes	Yes	Yes	No
Brain Challenge HD	Gameloft	Gameloft	Yes	Yes	Yes	No
Breeze	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	Yes
Bubble Town 2	i-Play	I-Play	Yes	Yes	Yes	No
Bug Village	Glu Mobile	Glu	Yes	Yes	Yes	No
Bullet Asylum	Ubergeek Games	Microsoft Studios	Yes	Yes	Yes	Yes
Burn It All!	Pastagames and BulkyPix	Microsoft Studios	Yes	Yes	Yes	No
Burn the Rope	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	No
Butterfly (Removed from Store)	Press Start Studio	Microsoft Studios	Yes	Yes	Yes	Yes
Castlevania Puzzle: Encore of the Night	Konami Digital Entertainment	Konami Digital Entertainment	Yes	Yes	Yes	No
CarneyVale: Showtime	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	No
Chickens Can't Fly	Amused Sloth	Microsoft Studios	Yes	Yes	Yes	Yes
Civilization Revolution	2K	2K	Yes	Yes	Yes	No
Crackdown 2: Project Sunburst (Removed from Store)	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	Yes
Collapse	GameHouse Live	GameHouse Live	Yes	Yes	Yes	No
Contract Killer	Glu Mobile	Glu Mobile	Yes	Yes	Yes	No
Cro-Mag Rally	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	No
Cut the Rope	ZeptoLab	Chillingo	Yes	Yes	Yes	No
de Blob	THQ	THQ Inc	Yes	Yes	Yes	No
Deer Hunter 3D	Glu Mobile	Glu	Yes	Yes	Yes	No
DoDonPachi Maximum	Cave	Cave	Yes	No	No	No
Doodle God	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	No
Doodle Jump	Lima Sky	GameHouse Live	Yes	Yes	Yes	No
Droplitz Delight	GameHouse Live	GameHouse Live	Yes	Yes	Yes	No
Earthworm Jim HD	Gameloft	Gameloft	Yes	Yes	Yes	No
Enigmo	Pangea Software	Microsoft Studios	Yes	Yes	Yes	No
Fable: Coin Golf	Ideaworks Game Studio	Microsoft Studios	Yes	Yes	Yes	Yes
Farm Frenzy 2	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	No
Fast and Furious Adrenaline (Removed from Store)	i-Play	i-Play	Yes	Yes	Yes	No
Feed Me Oil	Electronic Arts	Electronic Arts	Yes	Yes	Yes	No
Fight Game: Rivals	Khaeon Studios	Microsoft Studios	Yes	Yes	Yes	No
Final Fantasy	SQUARE ENIX	SQUARE ENIX	Yes	Yes	Yes	No
Flight Control	Namco Bandai	Namco Bandai Games	Yes	Yes	Yes	No
Fling	Miniclip	Miniclip	Yes	Yes	Yes	No
Flowerz	Carbonated Games	Microsoft Studios	Yes	Yes	Yes	No
Frogger	Konami Digital Entertainment	Konami Digital Entertainment	Yes	Yes	Yes	No
Fruit Ninja	Halfbrick Studios	Microsoft Studios	Yes	Yes	Yes	No
Full House Poker	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	No
Fusion: Sentient	Starfire Studios	Microsoft Studios	Yes	Yes	Yes	Yes
Game Chest: Logic Games	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	Yes
Game Chest: Solitare Edition	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	Yes
Game Room - Asteroids Deluxe	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	No
Game Room - Centipede	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	No
Game Room - Luna Lander	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	No
