Date	Opponent	Score	Loss	Attendance	Record
July 1	@ Red Sox	9 - 7	Alexander (5-4)	32,729	40-38
July 2	@ Red Sox	4 - 2	Clemens (14-1)	27,493	41-38
July 3	@ Red Sox	8 - 5	Boyd (10-6)	21,123	42-38
July 4	Angels	9 - 1	Stieb (2-9)	30,283	42-39
July 5	Angels	7 - 3	Romanick (5-7)	40,426	43-39
July 6	Angels	8 - 2	Lamp (2-5)	36,197	43-40
July 7	Mariners	7 - 5	Morgan (6-8)	26,208	44-40
July 8	Mariners	8 - 5	Cerutti (4-2)	28,241	44-41
July 9	Mariners	6 - 5	Moore (5-8)	30,044	45-41
July 10	Athletics	8 - 4	Plunk (2-5)	28,172	46-41
July 11	Athletics	6 - 5	Rijo (3-8)	30,370	47-41
July 12	Athletics	5 - 3	Key (8-6)	35,470	47-42
July 13	Athletics	10 - 5	Caudill (2-1)	37,138	47-43
July 17	@ Angels	8 - 5	Sutton (8-6)	31,585	48-43
July 18	@ Angels	2 - 0	McCaskill (10-6)	31,672	49-43
July 19	@ Angels	9 - 3	Stieb (2-10)	30,577	49-44
July 20	@ Angels	6 - 3 (10)	Corbett (2-2)	27,795	50-44
July 21	@ Mariners	8 - 3	Huismann (2-3)	17,823	51-44
July 22	@ Mariners	8 - 7 (12)	Caudill (2-2)	10,152	51-45
July 23	@ Mariners	6 - 2	Moore (6-10)	11,485	52-45
July 25	@ Athletics	6 - 5 (10)	Caudill (2-3)	12,778	52-46
July 26	@ Athletics	2 - 0	Cerutti (5-3)	22,168	52-47
July 27	@ Athletics	1 - 0 (15)	Clarke (0-1)	21,628	52-48
July 28	@ Royals	6 - 0	Leibrandt (9-7)	40,468	53-48
July 29	@ Royals	5 - 2	Bankhead (4-5)	27,292	54-48
July 30	@ Royals	7 - 2	Leonard (6-10)	35,750	55-48
