Driver	Constructor	Laps	Time/Retired	Grid
Rubens Barrichello	Ferrari	77	1:41:49.001	1
Michael Schumacher	Ferrari	77	+0.434	2
Ralf Schumacher	Williams - BMW	77	+13.356	3
Kimi Räikkönen	McLaren - Mercedes	77	+29.479	11
David Coulthard	McLaren - Mercedes	77	+37.800	10
Giancarlo Fisichella	Jordan - Honda	77	+1:08.804	5
Felipe Massa	Sauber - Petronas	77	+1:13.612	7
Jarno Trulli	Renault	76	+1 Lap	6
Nick Heidfeld	Sauber - Petronas	76	+1 Lap	8
Takuma Sato	Jordan - Honda	76	+1 Lap	14
Juan Pablo Montoya	Williams - BMW	76	+1 Lap	4
Olivier Panis	BAR - Honda	76	+1 Lap	12
Pedro de la Rosa	Jaguar - Cosworth	75	+2 Laps	15
Allan McNish	Toyota	75	+2 Laps	18
Mika Salo	Toyota	75	+2 Laps	17
Mark Webber	Minardi - Asiatech	75	+2 Laps	19
Anthony Davidson	Minardi - Asiatech	58	Spin	20
Jenson Button	Renault	30	Spin	9
Eddie Irvine	Jaguar - Cosworth	23	Engine	16
Jacques Villeneuve	BAR - Honda	20	Transmission	13
