Year	Team	SckY	Int%	Rate	RAtt	RYds	RAvg	RLng	R1st
1991	ATL	11	50.0	0.0	0	0	0.0	0	0
1992	GB	208	2.8	85.3	47	198	4.2	19	11
1993	GB	199	4.6	72.2	58	216	3.7	27	13
1994	GB	188	2.4	90.7	42	202	4.8	36	14
1995	GB	217	2.3	99.5	39	181	4.6	40	17
1996	GB	241	2.4	95.8	49	136	2.8	23	18
1997	GB	176	3.1	92.6	58	187	3.2	16	16
1998	GB	223	4.2	87.8	40	133	3.3	35	13
1999	GB	223	3.9	74.7	28	142	5.1	20	11
2000	GB	236	2.8	78.0	27	108	4.0	18	7
2001	GB	151	2.9	94.1	38	56	1.5	14	5
2002	GB	188	2.9	85.6	25	73	2.9	17	6
2003	GB	137	4.5	90.4	18	15	0.8	7	3
2004	GB	93	3.1	92.4	16	36	2.3	17	2
2005	GB	170	4.8	70.9	18	62	3.4	20	4
2006	GB	134	2.9	72.7	23	29	1.3	14	4
2007	GB	93	2.8	95.7	29	12	0.4	21	3
2008	NYJ	213	4.2	81.0	21	43	2.0	27	4
2009	MIN	247	1.4	107.2	9	7	0.8	4	1
2010	MIN	139	5.3	69.9	17	8	0.5	10	1
Career	Career	SckY	Int%	Rate	RAtt	RYds	RAvg	RLng	R1st
20Years	20Years	3,487	3.3	86.0	602	1,844	3.1	40	153
