Name	Nationality	Position	Appearances	Starts	Minutes	Goals	Assists
Yael Averbuch Category:Articles with hCards	United States	MF	3	3	270	0	2
Jenni Branam Category:Articles with hCards	United States	GK	3	3	270	0	0
Jen Buczkowski Category:Articles with hCards	United States	MF	3	3	270	0	0
Keeley Dowling Category:Articles with hCards	United States	DF	3	3	270	1	0
Francielle Category:Articles with hCards	Brazil	MF	3	1	137	1	0
Kerri Hanks Category:Articles with hCards	United States	FW	3	2	122	0	0
Natasha Kai Category:Articles with hCards	United States	FW	3	1	148	1	1
Noelle Keselica Category:Articles with hCards	United States	FW	1	0	7	0	0
Collette McCallum Category:Articles with hCards	Australia	MF	3	2	152	0	0
Heather O'Reilly Category:Articles with hCards	United States	FW	3	3	236	1	0
Kelly Parker Category:Articles with hCards	Canada	MF	2	0	46	0	0
Christie Rampone Category:Articles with hCards	United States	DF	3	3	270	0	0
Rosana Category:Articles with hCards	Brazil	MF	3	3	251	0	0
Meghan Schnur Category:Articles with hCards	United States	MF	3	3	270	0	0
