Rank	Country/Territory	Mister International	1st runner-up	2nd runner-up	3rd runner-up	4th runner-up	Semifinalists	Total
1	Lebanon	2	1	1	0	1	0	5
2	Brazil	2	1	0	1	0	1	5
3	Vietnam	1	0	0	1	0	1	3
4	Bolivia	1	0	0	0	0	1	2
5	Great Britain	1	0	0	0	0	0	1
7	Spain	0	1	1	0	0	0	2
8	Venezuela	0	1	0	1	0	5	7
9	Singapore	0	1	0	0	0	4	5
10	South Korea	0	1	0	0	0	2	3
11	Czech Republic	0	1	0	0	0	0	1
12	Greece	0	0	2	0	1	1	4
13	Indonesia	0	0	1	1	0	4	6
14	Slovenia	0	0	1	0	0	3	4
15	China	0	0	1	0	0	0	1
16	France	0	0	0	1	0	2	3
17	Latvia	0	0	0	1	0	1	2
18	Croatia	0	0	0	1	0	0	1
19	USA	0	0	0	0	1	3	4
20	Slovak Republic	0	0	0	0	1	1	2
21	Netherlands	0	0	0	0	1	0	1
21	Poland	0	0	0	0	1	0	1
23	Philippines	0	0	0	0	0	4	4
24	Belgium	0	0	0	0	0	3	3
25	India	0	0	0	0	0	2	2
25	Italy	0	0	0	0	0	2	2
25	Sri Lanka	0	0	0	0	0	2	2
25	Taiwan	0	0	0	0	0	2	2
25	Turkey	0	0	0	0	0	2	2
30	Austria	0	0	0	0	0	1	1
30	Bosnia & Herzegovina	0	0	0	0	0	1	1
30	Chile	0	0	0	0	0	1	1
30	Colombia	0	0	0	0	0	1	1
30	Costa Rica	0	0	0	0	0	1	1
30	Denmark	0	0	0	0	0	1	1
30	Ireland	0	0	0	0	0	1	1
30	Macedonia	0	0	0	0	0	1	1
30	Malaysia	0	0	0	0	0	1	1
30	Mexico	0	0	0	0	0	1	1
30	Namibia	0	0	0	0	0	1	1
30	New Zealand	0	0	0	0	0	1	1
30	Nigeria	0	0	0	0	0	1	1
30	Norway	0	0	0	0	0	1	1
30	Puerto Rico	0	0	0	0	0	1	1
30	Serbia	0	0	0	0	0	1	1
30	Sweden	0	0	0	0	0	1	1
