Week	Date	Opponent	Result	Attendance
1	August 31, 1997	New Orleans Saints	W 38-24	64,575
2	September 7, 1997	San Francisco 49ers	L 15-12	64,630
3	September 14, 1997	at Denver Broncos	L 35-14	74,338
4	September 21, 1997	New York Giants	W 13-3	64,642
5	September 28, 1997	at Oakland Raiders	L 35-17	42,506
6	Bye	Bye	Bye	Bye
7	October 12, 1997	at San Francisco 49ers	L 30-10	63,825
8	October 19, 1997	Seattle Seahawks	L 17-9	64,819
9	October 26, 1997	Kansas City Chiefs	L 28-20	64,864
10	November 2, 1997	at Atlanta Falcons	L 34-31	36,583
11	November 9, 1997	at Green Bay Packers	L 17-7	60,093
12	November 16, 1997	Atlanta Falcons	L 27-21	64,299
13	November 23, 1997	Carolina Panthers	L 16-10	64,609
14	November 30, 1997	at Washington Redskins	W 23-20	74,772
15	December 7, 1997	at New Orleans Saints	W 34-27	54,803
16	December 14, 1997	Chicago Bears	L 13-10	66,030
17	December 20, 1997	at Carolina Panthers	W 30-18	58,101
