Week	Date	Opponent	Result	Attendance
1	September 18, 1977	San Diego Chargers	W 24-0	51,022
2	September 25, 1977	at Pittsburgh Steelers	W 16-7	50,398
3	October 3, 1977	at Kansas City Chiefs	W 37-28	60,684
4	October 9, 1977	at Cleveland Browns	W 26-10	80,236
5	October 16, 1977	Denver Broncos	L 30-7	53,616
6	October 23, 1977	at New York Jets	W 28-27	56,734
7	October 30, 1977	at Denver Broncos	W 24-14	75,007
8	November 6, 1977	Seattle Seahawks	W 44-7	50,929
9	November 13, 1977	Houston Oilers	W 34-29	53,667
10	November 20, 1977	at San Diego Chargers	L 12-7	50,887
11	November 28, 1977	Buffalo Bills	W 34-13	51,558
12	December 4, 1977	at Los Angeles Rams	L 20-14	67,075
13	December 11, 1977	Minnesota Vikings	W 35-13	52,771
14	December 18, 1977	Kansas City Chiefs	W 21-20	50,304
