Date	Opponent	Score	Loss	Attendance	Record
May 1	@ Angels	1-0	Carrasco (0-2)	41,721	13-12
May 2	@ Angels	10-3	Lackey (3-2)	35,943	14-12
May 3	Indians	3-14	Haren (1-3)	18,248	14-13
May 4	Indians	12-4	Johnson (2-2)	14,695	15-13
May 5	Devil Rays	1-3	Blanton (3-3)	12,552	15-14
May 6	Devil Rays	3-2	Orvella (1-3)	25,080	16-14
May 7	Devil Rays	2-3	Halsey (1-1)	22,837	16-15
May 9	@ Blue Jays	6-5	Towers (0-7)	36,269	17-15
May 10	@ Blue Jays	7-9	Blanton (3-4)	19,269	17-16
May 11	@ Blue Jays	3-8	Saarloos (1-1)	23,974	17-17
May 12	@ Yankees	0-2	Zito (2-3)	47,497	17-18
May 13	@ Yankees	3-4	Halsey (1-2)	53,907	17-19
May 14	@ Yankees	6-1	Johnson (5-4)	52,587	18-19
May 16	Mariners	12-6	Hernández (3-5)	16,397	19-19
May 17	Mariners	7-2	Moyer (1-4)	19,208	20-19
May 18	Mariners	6-3	Piñeiro (4-4)	18,136	21-19
May 19	Giants	1-0	Lowry (1-1)	35,077	22-19
May 20	Giants	2-4 (10)	Calero (0-1)	35,077	22-20
May 21	Giants	0-6	Blanton (4-5)	35,077	22-21
May 22	@ White Sox	4-5 (10)	Flores (0-1)	39,354	22-22
May 23	@ White Sox	3-9	Saarloos (2-2)	38,860	22-23
May 24	@ White Sox	2-3	Haren (4-4)	38,434	22-24
May 25	@ Rangers	7-8	Street (1-2)	22,006	22-25
May 26	@ Rangers	3-5	Gaudin (0-2)	27,791	22-26
May 27	@ Rangers	6-3	Loe (3-5)	41,226	23-26
May 28	@ Rangers	3-4	Saarloos (2-3)	38,905	23-27
May 29	Royals	4-6	Haren (4-5)	28,040	23-28
May 30	Royals	7-8 (10)	Roney (0-1)	12,516	23-29
May 31	Royals	7-0	Elarton (1-6)	25,181	24-29
