Date	Visitor	Score	Home	Decision	Attendance	Record
February 2	NY Islanders	1 – 4	Montreal	DiPietro	21,273	24–23–6
February 5	Anaheim	3 – 0	NY Islanders	DiPietro	9,649	24–24–6
February 7	NY Islanders	3 – 4	Pittsburgh	DiPietro	17,075	24–25–6
February 9	NY Islanders	3 – 4	Minnesota	DiPietro	18,568	24–25–7
February 12	Philadelphia	3 – 4	NY Islanders	DiPietro	11,193	25–25–7
February 14	NY Islanders	5 – 4	Toronto	DiPietro	19,227	26–25–7
February 16	Atlanta	1 – 4	NY Islanders	DiPietro	16,234	27–25–7
February 18	San Jose	2 – 3	NY Islanders	DiPietro	16,234	28–25–7
February 20	NY Islanders	3 – 2	Washington	DiPietro	17,584	29–25–7
February 21	Tampa Bay	0 – 1	NY Islanders	DiPietro	12,382	30–25–7
February 23	NY Islanders	2 – 4	New Jersey	DiPietro	17,625	30–26–7
February 26	Pittsburgh	4 – 2	NY Islanders	DiPietro	11,258	30–27–7
February 28	NY Islanders	5 – 4	Atlanta	DiPietro	16,332	31–27–7
