Rank	Title	Studio	Director	Gross rental
1.	South Pacific	20th Century Fox	Joshua Logan	$16,300,000
2.	Auntie Mame	Warner Bros. Pictures	Morton DaCosta	$9,100,000
3.	Cat on a Hot Tin Roof	Metro-Goldwyn-Mayer	Richard Brooks	$7,800,000
4.	No Time for Sergeants	Warner Bros. Pictures	Mervyn LeRoy	$7,500,000
5.	Gigi	Metro-Goldwyn-Mayer	Vincente Minnelli	$6,700,000
6.	The Vikings	United Artists	Richard Fleischer	$6,000,000
7.	Vertigo	Paramount Pictures	Alfred Hitchcock	$5,306,000[ citation needed ]
8.	The Young Lions	20th Century Fox	Edward Dmytryk	$4,480,000[ citation needed ]
9.	Some Came Running	Metro-Goldwyn-Mayer	Vincente Minnelli	$4,442,000[ citation needed ]
10.	The Sheriff of Fractured Jaw	20th Century Fox	Raoul Walsh	$4,410,000[ citation needed ]
