Player	Played	Sets Won	Sets Lost	Legs Won	Legs Lost	100+	140+	180s	High Checkout	3-dart Average
Mark Webster	5	25	12	85	67	188	98	39	141	92.28
Ian Jones	1	1	3	6	11	18	11	3	118	85.29
Niels de Ruiter	1	1	3	7	11	27	7	0	40	74.04
Glenn Moody	2	4	5	18	19	61	17	1	121	80.87
Darryl Fitton	3	8	6	35	22	83	38	16	156	95.43
Davy Richardson	1	1	3	4	11	27	11	1	67	89.91
Gary Robson	2	3	5	12	16	37	19	2	135	84.16
Tony David	1	1	3	4	10	25	2	0	68	76.77
Tony O'Shea	2	5	6	19	24	64	26	7	161	84.55
Steve Farmer	1	2	3	9	10	27	9	3	114	81.78
John Walton	1	0	3	3	9	15	10	1	36	85.26
Robert Thornton	3	11	7	43	32	153	75	20	170	91.65
Shaun Greatbatch	1	1	3	4	10	24	9	1	121	87.03
Martin Phillips	2	3	5	16	16	57	20	4	161	86.98
Martin Adams	4	16	10	61	52	184	82	20	128	91.88
Phill Nixon	1	0	3	3	9	18	5	0	112	77.61
Scott Waites	3	10	7	39	32	118	45	5	121	88.58
Mike Veitch	1	1	3	5	11	16	11	2	116	83.82
Mario Robbe	1	1	3	9	10	24	10	2	120	78.51
Remco van Eijden	2	5	5	18	25	47	24	9	84	85.15
Brian Woods	4	15	11	63	45	148	67	21	132	91.08
Paul Hanvidge	1	0	3	3	9	16	5	2	61	83.43
Co Stompé	2	5	4	19	18	40	26	5	170	89.30
Carl Mercer	1	0	3	2	9	13	5	2	69	78.54
Ted Hankey	3	7	8	31	28	65	40	13	138	86.96
Steve West	1	2	3	8	12	19	14	3	81	82.53
Martin Atkins	1	2	3	10	12	34	12	3	96	85.80
Andy Boulton	2	4	6	17	24	51	20	4	127	82.37
Edwin Max	1	0	3	6	9	19	7	0	149	77.46
Simon Whitlock	5	23	11	79	57	182	82	36	145	92.14
Gary Anderson	1	2	3	10	10	14	23	5	120	88.56
Fabian Roosenbrand	2	4	6	15	23	36	28	6	124	83.65
