Tie no	Home team	Score	Away team	Date
1	Ashington	1–2	Rochdale	9 December 1950
2	Bristol City	2–1	Wrexham	9 December 1950
3	Reading	4–0	Dartford	9 December 1950
4	Crewe Alexandra	2–2	Plymouth Argyle	9 December 1950
Replay	Plymouth Argyle	3–0	Crewe Alexandra	13 December 1950
5	Bristol Rovers	2–2	Gillingham	9 December 1950
Replay	Gillingham	1–1	Bristol Rovers	13 December 1950
2nd replay	Bristol Rovers	2–1	Gillingham	18 December 1950
6	Brighton & Hove Albion	2–0	Ipswich Town	9 December 1950
7	Rhyl	0–1	Norwich City	9 December 1950
8	Millwall	1–1	Bradford Park Avenue	9 December 1950
Replay	Bradford Park Avenue	0–1	Millwall	13 December 1950
9	Exeter City	3–0	Swindon Town	9 December 1950
10	Hartlepools United	1–2	Oldham Athletic	9 December 1950
11	Port Vale	3–2	Nelson	9 December 1950
12	Southport	1–3	Carlisle United	9 December 1950
13	York City	2–1	Tranmere Rovers	9 December 1950
14	Hereford United	0–3	Newport County	9 December 1950
15	Rotherham United	3–1	Nottingham Forest	9 December 1950
16	Aldershot	3–0	Bournemouth & Boscombe Athletic	9 December 1950
17	Chelmsford City	1–4	Mansfield Town	9 December 1950
