Year	Division	League	Regular Season	Playoffs	Open Cup
1993	N/A	USISL	8th, Atlantic	Did not qualify	Did not enter
1994	3	USISL	3rd, Atlantic	Divisional Finals	Did not enter
1995	3	USISL Pro League	2nd, Atlantic	Divisional Semifinals	Did not qualify
1996	3	USISL Pro League	1st, South Atlantic	Final	Did not qualify
1997	3	USISL D-3 Pro League	3rd, South Atlantic	Final	Did not qualify
1998	3	USISL D-3 Pro League	3rd, Atlantic	Quarterfinals	2nd Round
1999	3	USL D-3 Pro League	1st, Atlantic	Semifinals	Did not qualify
2000	3	USL D-3 Pro League	3rd, Southern	Champions	Did not qualify
2001	2	USL A-League	3rd, Central	1st Round	Did not qualify
2002	2	USL A-League	4th, Southeast	1st Round	Did not qualify
2003	2	USL A-League	4th, Southeast	Did not qualify	Did not qualify
2004	3	USL Pro Soccer League	1st, Southern	Final	2nd Round
2005	3	USL Second Division	2nd	Champions	3rd Round
2006	3	USL Second Division	2nd	Final	2nd Round
2007	3	USL Second Division	4th	Semifinals	2nd Round
2008	3	USL Second Division	1st	Final	2nd Round
2009	3	USL Second Division	4th	Final	1st Round
2010	3	USL Second Division	4th	Did not qualify	1st Round
2011	3	USL Pro	7th	Did not qualify	2nd Round
2012	3	USL Pro	7th	Did not qualify	Quarterfinals
