Team	Car(s)	#	Driver(s)	Primary Sponsor(s)	Listed Owner(s)	Crew Chief
Akins Motorsports	Chevrolet Monte Carlo	38	Kasey Kahne	Great Clips	Brad Akins	Jon Wolfe
Akins Motorsports	Chevrolet Monte Carlo	58	Brent Sherman (R)	Serta / Hickory Farms	Doug Stringer	Tony Lambert
Biagi Brothers Racing	Ford Taurus	4	Ryan Hemphill (R)	GEICO / Pet Brands	Fred Biagi	Mark Tutor
Braun Racing	Chevrolet Monte Carlo	32	Shane Hmiel	Win Fuel / TrimSpa	Todd Braun	Todd Lohse
Brewco Motorsports	Ford Taurus	27	David Green	Kleenex	Tammy Brewer	Stewart Cooper
Brewco Motorsports	Ford Taurus	66	Greg Biffle	Duraflame	Clarence Brewer	Newt Moore
Chance 2 Motorsports	Chevrolet Monte Carlo	8	Martin Truex, Jr.	Bass Pro Shops / Tracker	Teresa Earnhardt	Kevin Manion
Chip Ganassi Racing	Dodge Intrepid	41	Reed Sorenson (R)	Discount Tire Company	Chip Ganassi	Brian Pattie
Curb Agajanian Motorsports	Dodge Intrepid	43	Aaron Fike	Channellock	Mike Curb	Joe Shear, Jr.
Dale Earnhardt, Inc.	Chevrolet Monte Carlo	11	Paul Menard	Menards	Teresa Earnhardt	Dan Stillman
Davis Motorsports	Chevrolet Monte Carlo	0	Kertus Davis (R)	RaceGirl	Johnny Davis	Ronnie Griffin
Day Enterprise Racing	Pontiac Grand Prix	16	John Hayden	31-W Insulation	Wayne Day	Tom Perkins
DCT Motorsports	Chevrolet Monte Carlo	36	Stanton Barrett	Frist Time Portfolios	John McGill	Ricky Pearson
Evernham Motorsports	Dodge Intrepid	6	Paul Wolfe (R)	Unilever	Ray Evernham	Elton Sawyer
FitzBradshaw Racing	Dodge Intrepid	12	Tim Fedewa	Supercuts	Mimi Fitz	Steve Plattenberger
FitzBradshaw Racing	Dodge Intrepid	14	David Stremme	United States Navy	Terry Bradshaw	Randy Cox
Frank Cicci Racing with Jim Kelly	Chevrolet Monte Carlo	34	Randy LaJoie	Dollar General	Frank Cicci	John Bland
GIC-Mixon Motorsports	Chevrolet Monte Carlo	24	Kim Crosby (R)	Boudreaux's Butt Paste	Gregg Mixon	Greg Guarry
Hendrick Motorsports	Chevrolet Monte Carlo	5	Kyle Busch	Lowe's	Rick Hendrick	Jim Long
Jay Robinson Racing	Ford Taurus	28	Derrike Cope	AMD	Jay Robinson	Terry Allen
Jay Robinson Racing	Ford Taurus	49	Steve Grissom	Advil Liqui-Gels	Jay Robinson	Phil Dixon
Joe Gibbs Racing	Chevrolet Monte Carlo	18	J. J. Yeley	Vigoro / The Home Depot	Joe Gibbs	Jason Ratcliff
Joe Gibbs Racing	Chevrolet Monte Carlo	20	Denny Hamlin (R)	Rockwell Automation	Joe Gibbs	Cully Barraclough
Keith Coleman Racing	Chevrolet Monte Carlo	23	Shawna Robinson	Vassarette	Keith Coleman	Mike Byrd
Kevin Harvick Incorporated	Chevrolet Monte Carlo	33	Tony Stewart	Mr. Clean / Outdoor Channel	Delana Harvick	Butch Hylton
Labonte Motorsports / Haas CNC	Chevrolet Monte Carlo	44	Justin Labonte	United States Coast Guard	Terry Labonte	Bryant Frazier
MacDonald Motorsports	Chevrolet Monte Carlo	72	Geoffrey Bodine	Gunbroker.com	Pat MacDonald	Jim Daly
NEMCO Motorsports	Chevrolet Monte Carlo	7	Jeff Fuller	Big Boar Customs	Andrea Nemechek	Johnny Vermillion
NEMCO Motorsports	Chevrolet Monte Carlo	87	Joe Nemechek	Cellular One	Andrea Nemechek	Gary Putnam
Phoenix Racing	Dodge Intrepid	1	Johnny Sauter	Yellow Transportation	James Finch	Marc Reno
ppc Racing	Ford Taurus	10	Michel Jourdain, Jr. (R)	Telcel	Greg Pollex	Todd Gordon
ppc Racing	Ford Taurus	22	Kenny Wallace	Stacker 2	Greg Pollex	Wes Ward
Richard Childress Racing	Chevrolet Monte Carlo	2	Clint Bowyer	ACDelco	Richard Childress	Gil Martin
Richard Childress Racing	Chevrolet Monte Carlo	21	Kevin Harvick	Reese's	Richard Childress	Ricky Viers
Robert Yates Racing	Ford Taurus	90	Elliott Sadler	CitiFinancial	Robert Yates	Rick Ren
Roush Racing	Ford Taurus	60	Carl Edwards (R)	Charter Communications	Jack Roush	Brad Parrott
Rusty Wallace, Inc.	Dodge Intrepid	64	Jamie McMurray	Top-Flite	Rusty Wallace	Blake Bainbridge
ST Motorsports	Chevrolet Monte Carlo	47	Jon Wood (R)	Clorox / Wisk	Jodi Geschickter	Jay Guy
ST Motorsports	Chevrolet Monte Carlo	59	Stacy Compton	Kingsford	Tad Geschickter	Chris Rice
Team Rensi Motorsports	Ford Taurus	25	Ashton Lewis	United States Marine Corps	Ed Rensi	Charlie Lewis
