Name	City/State	Country	Status	Status Date	Episode Number
Anamika Choudhari	Mariani, Assam	India	Winner	1 March 2008	Episode 40
Rohanpreet Singh	Patiala, Punjab	India	1st runner-up	1 March 2008	Episode 40
Tanmay Chaturvedi	Lucknow, Uttar Pradesh	India	2nd runner-up	1 March 2008	Episode 40
Aamir Hafeez	Bhopal, Madhya Pradesh	India	Voted out	15 February 2008	Episode 34
Vasundhara Raturi	Delhi	India	Voted out	8 February 2008	Episode 32
Vaishali Raikwar	Bhopal, Madhya Pradesh	India	Voted out	1 December 2007	Episode 14
Smita Nandi	Agartala, Tripura	India	Voted out	18 January 2008	Episode 27
Vibhor Parashar	Delhi	India	Voted out	12 January 2008	Episode 25
Rohit Shyam Raut	Nagpur, Maharastra	India	Voted out	4 January 2008	Episode 23
Paritosh Pande	Gaziabad, Uttar Pradesh	India	Voted out	21 December 2007	Episode 21
Sahil Solanki	Hissar, Haryana	India	Voted out	14 December 2007	Episode 6
Loria Dhoshi	Jaipur, Rajasthan	India	Voted out	8 December 2007	Episode 16
Shahzaad Ali	Bikaner, Rajasthan	India	Voted out	3 November 2007	Episode 17
Sagar Padke	Mumbai, Maharastra	India	Voted out	30 November 2007	Episode 13
Sayon Sen	New Delhi	India	Voted out	17 November 2007	Episode 10
Barbie Rajput with Ankesh Godbole	Mandi, Himachal Pradesh	India	Voted out	10 November 2007	Episode 8
Arghya Ramnath Naik	Muscat	Oman	Voted out	27 October 2007	Episode 4
Harsh Kapoor	Allahabad, Uttar Pradesh	India	Voted out	27 October 2007	Episode 4
Shreya Nayak	Mumbai, Maharashtra	India	Voted out	27 October 2007	Episode 4
Shreya Tripathi	Sitrah	Bahrain	Voted out	27 October 2007	Episode 4
Sukanya Gupta	Delhi	India	Voted out	27 October 2007	Episode 4
Utkarsha Telang	Indor, Madhya Pradesh	India	Voted out	27 October 2007	Episode 4
Aamna Waheed (Spelling Correction)	England	United Kingdom	Voted out	26 October 2007	Episode 3
Maithali Shome	Johannesburg	South Africa	Voted out	26 October 2007	Episode 3
Rupaali	Suva	Fiji	Voted out	26 October 2007	Episode 3
Surbhi Rajput	Kota, Rajasthan	India	Voted out	26 October 2007	Episode 3
Veda Narulkar	Mumbai, Maharashtra	India	Voted out	26 October 2007	Episode 3
Anshula Kumar	Sydney	Australia	Voted out	19 October 2007	Episode 2
Monalisa Roy	Kuala Lumpur	Malaysia	Voted out	19 October 2007	Episode 2
Shruti Khandor	N/A	United States	Voted out	19 October 2007	Episode 2
Vibhav Gautam	Doha	Qatar	Voted out	19 October 2007	Episode 2
Yash Kansara	N/A	United States	Voted out	19 October 2007	Episode 2
