Place	Player	Country	Score	To par	Money ( $ )
1	Gene Littler	United States	73-68-72-68=281	+1	14,000
T2	Bob Goalby	United States	70-72-69-71=282	+2	6,000
T2	Doug Sanders	United States	72-67-71-72=282	+2	6,000
T4	Jack Nicklaus (a)	United States	75-69-70-70=284	+4	0
T4	Mike Souchak	United States	73-70-68-73=284	+4	4,000
T6	Dow Finsterwald	United States	72-71-71-72=286	+6	2,616
T6	Doug Ford	United States	72-69-71-74=286	+6	2,616
T6	Eric Monti	United States	74-67-72-73=286	+6	2,616
T9	Jacky Cupit	United States	72-72-67-76=287	+7	1,750
T9	Gardner Dickinson	United States	72-69-71-75=287	+7	1,750
T9	Gary Player	South Africa	75-72-69-71=287	+7	1,750
