Episode	Theme	Song choice	Original artist	Order #	Result
Audition	N/A	" Slow Dancing in a Burning Room "	John Mayer	N/A	Advanced
Hollywood	First Solo	" I Don't Need No Doctor "	Ray Charles	N/A	Advanced
Hollywood	Group Round	" Closer "	Ne-Yo	N/A	Advanced
Hollywood	Second Solo	" Bubbly "	Colbie Caillat	N/A	Advanced
Top 24 (12 Men)	Billboard Hot 100 Hits	" Heaven "	Bryan Adams	11	Safe
Top 20 (10 Men)	Billboard Hot 100 Hits	" I Don't Want to Be "	Gavin DeGraw	3	Safe
Top 16 (8 Men)	Billboard Hot 100 Hits	" You'll Think of Me "	Keith Urban	5	Safe
Top 12	The Rolling Stones	" It's All Over Now "	The Valentinos	3	Safe
Top 11	Billboard Number 1 Hits	" The Power of Love "	Huey Lewis and the News	9	Safe
Top 10	R&B / Soul	" Hold On, I'm Comin' "	Sam & Dave	2	Safe
Top 9	Lennon–McCartney	" Jealous Guy "	John Lennon	7	Safe
Top 9	Elvis Presley	" Lawdy Miss Clawdy "	Lloyd Price	9	Safe
Top 7	Inspirational	" Don't Stop "	Fleetwood Mac	1	Bottom 3
Top 6	Shania Twain	" Don't! "	Shania Twain	3	Bottom 3
Top 5	Frank Sinatra	" Blue Skies "	Belle Baker	2	Safe
Top 4	Songs of the Cinema	Solo " Mrs. Robinson " — The Graduate	Simon & Garfunkel	4	Safe
Top 3	Contestant's Choice	" OK, It's Alright with Me "	Eric Hutchinson	1	Eliminated
