Name	Tenure	Courtesy title	Court Rank	revenues
Iwaki Yoshitaka ( 佐竹義隆 ? )	1623–1634	Shuri-daiyu	Lower 5th (従五位下)	20,000 koku
Iwaki Nobutaka ( 岩城宣隆 ? )	1628-1656	Tajima-no-kami	Lower 5th (従五位下)	20,000 koku
Iwaki Shigetaka ( 岩城重隆 ? )	1656-1704	Iyo-no-kami	Lower 5th (従五位下)	20,000 koku
Iwaki Hidetaka ( 岩城秀隆 ? )	1685–1735	Iyo-no-kami	Lower 5th (従五位下)	20,000 koku
Iwaki Takatsugu ( 岩城隆韶 ? )	1718-1745	Tajima-no-kami	Lower 5th (従五位下)	20,000 koku
Iwaki Takyoshi ( 岩城隆恭 ? )	1745-1782	Iyo-no-kami	Lower 5th (従五位下)	20,000 koku
Iwaki Takanori ( 岩城隆恕 ? )	1782-1817	Iyo-no-kami	Lower 5th (従五位下)	20,000 koku
Iwaki Takahiro ( 岩城隆喜 ? )	1817-1853	Iyo-no-kami	Lower 5th (従五位下)	20,000 koku
Iwaki Takanaga ( 岩城隆永 ? )	1854-1855	Tajima-no-kami	Lower 5th (従五位下)	20,000 koku
Iwaki Takanobu ( 岩城隆信 ? )	1855–1855	- none -	Lower 5th (従五位下)	20,000 koku
Iwaki Takamasa ( 岩城隆政 ? )	1855–1861	Shuri-daiyu	Lower 5th (従五位下)	20,000 koku
Iwaki Takakuni ( 岩城隆邦 ? )	1861-1869	Ukyo-daiyu	Lower 5th (従五位下)	20,000 koku
Iwaki Takaaki ( 岩城隆彰 ? )	1869-1871	Viscount	5th (従五位)	20,000 -->18,000 koku
