Season	Competition	Round	Club	1st Leg	2nd Leg
1983–84	European Cup	1R	Grasshopper	1–0 (H)	2–2 (A)
1983–84	European Cup	2R	Raba ETO	6–3 (A)	3–1 (H)
1983–84	European Cup	QF	Dinamo Bucureşti	1–1 (H)	0–1 (A)
1984–85	UEFA Cup	1R	HJK Helsinki	4–0 (H)	6–0 (A)
1984–85	UEFA Cup	2R	Sporting CP	0–2 (A)	2–0 ( p. 5–3) (H)
1984–85	UEFA Cup	3R	Widzew Łódź	2–0 (A)	0–1 (H)
1984–85	UEFA Cup	QF	Željezničar Sarajevo	0–2 (A)	1–1 (H)
1986–87	UEFA Cup	1R	Raba ETO	2–4 (H)	1–0 (A)
1987–88	UEFA Cup Winners' Cup	1R	Gençlerbirliği	2–0 (H)	2–1 (A)
1987–88	UEFA Cup Winners' Cup	2R	Real Sociedad	1–1 (A)	0–0 (H)
1987–88	UEFA Cup Winners' Cup	QF	Mechelen	0–1 (A)	1–1 (H)
1988–89	UEFA Cup	1R	Trakia Plovdiv	2–1 (A)	0–0 (H)
1988–89	UEFA Cup	2R	Victoria Bucureşti	2–1 (H)	0–1 (A)
1993–94	UEFA Champions League	1R	Werder Bremen	2–5 (A)	1–1 (H)
1994–95	UEFA Cup	QR	Hibernians	3–1 (H)	3–4 ( a.e.t. ) (A)
1994–95	UEFA Cup	1R	Lazio	0–0 (H)	1–4 (A)
1995–96	UEFA Cup	QR	Universitatea Craiova	0–0 (A)	0–0 ( p. 3–1) (H)
1995–96	UEFA Cup	1R	Austria Wien	2–1 (A)	1–0 (H)
1995–96	UEFA Cup	2R	Werder Bremen	0–5 (A)	2–1 (H)
1996–97	UEFA Cup	1Q	Bohemian	1–1 (A)	0–0 (H)
1996–97	UEFA Cup	2Q	Beşiktaş	2–1 (H)	0–2 (A)
1997–98	UEFA Cup	1Q	Kolkheti-1913 Poti	1–0 (H)	1–2 (A)
1997–98	UEFA Cup	2Q	Lillestrøm	0–2 (H)	0–1 (A)
1998–99	UEFA Champions League	1Q	Skonto Riga	0–0 (A)	1–2 (H)
2001	UEFA Intertoto Cup	1R	Hobscheid	6–0 (H)	1–1 (A)
2001	UEFA Intertoto Cup	2R	Hapoel Haifa	2–0 (H)	1–0 (A)
2001	UEFA Intertoto Cup	3R	Wolfsburg	3–4 (A)	0–0 (H)
2002–03	UEFA Cup	QR	CSKA Sofia	1–4 (H)	0–1 (A)
2003–04	UEFA Cup	QR	Brøndby	0–3 (A)	0–2 (H)
2004	UEFA Intertoto Cup	1R	Odra Wodzisław	0–1 (A)	2–0 (H)
2004	UEFA Intertoto Cup	2R	Sartid Smederevo	1–2 (H)	3–1 ( a.e.t. ) (A)
2004	UEFA Intertoto Cup	3R	Lille	1–2 (A)	2–2 (H)
2005–06	UEFA Champions League	1Q	Anorthosis	1–1 (H)	0–1 (A)
2006–07	UEFA Cup	1Q	Zagłębie Lubin	1–1 (A)	0–0 (H)
2006–07	UEFA Cup	2Q	Artmedia Petržalka	1–2 (A)	2–3 (H)
2007–08	UEFA Cup	1Q	Skonto Riga	1–1 (A)	2–0 (H)
2007–08	UEFA Cup	2Q	Odense	1–1 (H)	0–4 (A)
2009–10	UEFA Europa League	1Q	Renova	2–1 (H)	1–1 (A)
2009–10	UEFA Europa League	2Q	Tromsø	0–0 (H)	1–4 (A)
2010–11	UEFA Europa League	2Q	Sillamäe Kalev	5–1 (H)	5–0 (A)
2010–11	UEFA Europa League	3Q	Maccabi Haifa	0–1 (A)	3–1 (H)
2010–11	UEFA Europa League	PO	Club Brugge	1–2 (A)	2–3 (H)
2013–14	UEFA Europa League	1Q	Kruoja Pakruojis	3–0 (A)	5–0 (H)
2013–14	UEFA Europa League	2Q	Lokomotiva	1–2 (H)	3–2 (A)
2013–14	UEFA Europa League	3Q	Trabzonspor	0–1 (H)	0–0 (A)
