Country	Exports	Imports	Total Trade	Trade Balance
United Arab Emirates	36,265.15	38,436.47	74,701.61	-2171.32
China	13,503.00	54,324.04	67,827.04	-40,821.04
United States	36,152.30	24,343.73	60,496.03	11,808.57
Saudi Arabia	9783.81	34,130.50	43,914.31	-24,346.69
Switzerland	1,116.98	29,915.78	31,032.76	-28,798.80
Singapore	13,608.65	7,754.38	21,363.03	5,854.27
Germany	7,244.63	14,373.91	21,618.54	-7129.28
Hong Kong	12,278.31	8,078.58	20,356.89	4,199.74
Indonesia	5,331.47	14,774.27	20,105.75	-9,442.80
Iraq	1,278.13	20,155.94	21,434.07	-18,877.81
Japan	6,099.06	12,514.07	18,613.14	-6,415.01
Belgium	5,506.63	10,087.16	15,593.80	-4,580.53
Kuwait	1,060.80	16,569.63	17,630.43	-15,508.83
Iran	3,351.07	11,603.79	14,954.86	-8,252.72
