Player	Club	League	FA Cup	FA Trophy	League Cup	Total
Steve Norris	Telford United	24	0	6	5	35
Phil Derbyshire	Stafford Rangers	24	3	3	2	32
Paul Davies	Kidderminster Harriers	24	2	1	0	27
Steve Butler	Maidstone United	22	3	4	0	29
Mark Carter	Runcorn	22	1	2	0	25
Nicky Evans	Barnet	22	7	0	1	30
Nicky Francis	Enfield	21	1	4	3	29
Steve Burr	Macclesfield Town	19	9	4	0	32
Lenny Dennis	Sutton United	19	4	0	2	25
Dave Sansom	Barnet	19	3	2	3	27
Kim Casey	Kidderminster Harriers	17	2	2	0	21
Phil Brown	Lincoln City	16	1	2	1	20
Mark Smith	Kettering Town	16	0	2	1	19
Paul Wilson	Boston United	16	2	3	0	21
Brett Angell	Cheltenham Town	16	5	1	0	22
Steve Biggins	Telford United	15	1	3	1	20
John McGinley	Lincoln City	15	3	0	2	20
Paul McKinnon	Sutton United	15	2	0	2	19
