Letters	Organization	Nickname	Founding Date	Founding University	Type
αΚΔΦ	alpha Kappa Delta Phi 1	"KDPhi"	1990-02-07	University of California, Berkeley	Sorority
ΑΦΓ	Alpha Phi Gamma 1	"APhiG"	1994-02-01	California State Polytechnic University, Pomona	Sorority
ΑΨΡ	Alpha Psi Rho	"APsiRho" or "Rho Doggs"	2000-03-01	San Diego State University	Fraternity
ΑΣΛ	Alpha Sigma Lambda	"Alpha Sigs"	1993-10-15	California State Polytechnic University, Pomona	Fraternity
ΑΣΡ	Alpha Sigma Rho	"Alphas", "ASR" or "Alpha Sigs"	1998-04-02	University of Georgia	Sorority
ΒΠΦ	Beta Pi Phi	"Betas" or "Betafish"	2005-12-15	Temple University	Fraternity
ΒΥΔ	Beta Upsilon Delta	"Buds"	1998-8-21	University of California, Riverside	Fraternity
ΒΩΦ	Beta Omega Phi	"Betas"	1965-00-00	California State University, Los Angeles	Fraternity
ΓΒ	Gamma Beta	"GBs"	2000-05-01	University of Texas at Austin	Fraternity
ΓΕΩ	Gamma Epsilon Omega	"Gammas"	1963-00-00	University of Southern California	Fraternity
ΔΧΨ	Delta Chi Psi	"Deltas" or "DXPsi"	2004-12-18	Temple University	Fraternity
ΔΛΧ	Delta Lambda Chi	"DLC"	2002-02-09	University of California, Irvine	Sorority
ΔΦΚ	Delta Phi Kappa	"Deltas"	1960-05-06	University of Southern California	Sorority
ΔΦΛ	Delta Phi Lambda 1	"DPhiL"	1998-12-05	University of Georgia	Sorority
ΖΦΡ	Zeta Phi Rho	"Zetas"	1995-08-10	California State University, Long Beach	Fraternity
ΘΔΒ	Theta Delta Beta	"Thetas" or "The Dark Boyz"	1990-00-00	University of California, Irvine	Fraternity
ΘΚΦ	Theta Kappa Phi	"Thetas"	1959-00-00	University of California, Los Angeles	Sorority
ΚΖΦ	Kappa Zeta Phi	"Kappas"	1960-12-00	California State University, Los Angeles	Sorority
ΚΦΛ	Kappa Phi Lambda 1	"Kappas" or "KPL"	1995-03-09	SUNY Binghamton	Sorority
ΚΠΒ	Kappa Pi Beta	"KPiB"	2000-03-16	Northern Illinois University	Fraternity
ΚΓΔ	Kappa Gamma Delta	"KGD"	1997-04-17	Indiana University Bloomington	Sorority
ΛΦΕ	Lambda Phi Epsilon 1 2	"Lambdas" or "LPhiE"	1981-02-25	University of California, Los Angeles	Fraternity
ΛΘΔ	Lambda Theta Delta	"LTD"	1983-03-02	University of California, Irvine	Fraternity
ΝΑΦ	Nu Alpha Phi	"Nappies"	1994-03-18	State University of New York at Albany	Fraternity
ΞΚ	Xi Kappa	"XK"	1998-02-28	University of Georgia	Fraternity
ΦΔΣ	Phi Delta Sigma	"Phi Sig or FDS"	2007-08-07	University of Maryland, College Park	Fraternity
ΠΑΦ	Pi Alpha Phi 1	"P.A.Phi's or Pineapples"	1929-02-01	University of California, Berkeley	Fraternity
ΠΔΨ	Pi Delta Psi 1	"PDPsi"	1994-02-20	State University of New York at Binghamton	Fraternity
ΡΨ	Rho Psi	"Su Yu She"	1916-00-00	Cornell University	Fraternity
ΡΔΧ	Rho Delta Chi	"Rhos"	1991-01-17	University of California, Riverside	Sorority
ΣΟΠ	Sigma Omicron Pi 1	"S.O.Pi"	1930-00-00	San Francisco State University	Sorority
ΣΦΩ	Sigma Phi Omega	"Sigmas"	1949-00-00	University of Southern California	Sorority
ΣΨΖ	Sigma Psi Zeta 1	"SYZ" or "Sigmas"	1994-03-23	University at Albany	Sorority
ΧΑΔ	Chi Alpha Delta	"Chis"	1928-00-00	University of California, Los Angeles	Sorority
ΧΔΘ	Chi Delta Theta	"Chi Delts"	1989-10-13	University of California, Santa Barbara	Sorority
ΧΣΤ	Chi Sigma Tau 1	"Chi Sigs" or "CST"	1999-09-09	University of Illinois at Chicago	Fraternity
ΨΧΩ	Psi Chi Omega	"Psi Chi's"	1992-01-24	University of California, San Diego	Fraternity
ΩΦΓ	Omega Phi Gamma	"Omegas"	1995-05-21	University of Texas at Austin	Fraternity
