Name	Listed	Location	County	Type
Beaver Creek Bridge	1997-02-27	Finley	Steele	Pratt through truss
Caledonia Bridge	1997-02-27	Caledonia	Traill	Pratt through truss
Cedar Creek Bridge	1997-02-27	Haynes	Adams	Pratt through truss
Colton's Crossing Bridge	1997-02-27	Lisbon	Ransom	Pratt through truss
Crystal Bridge	1997-05-30	Crystal	Pembina	Concrete T-beam bridge
Eastwood Park Bridge	1975-04-21	Minot	Ward	Cantilever type
Elliott Bridge	1997-02-27	Towner	McHenry	Pratt through truss
Fairview Lift Bridge	1997-03-14	Cartwright	McKenzie	railroad lift bridge
Grace City Bridge	1997-02-27	Grace City	Foster	Pratt through truss
Great Northern Railway Underpass	1997-02-27	Stanley	Mountrail	concrete deck girder bridge
Knife River Bridge near Stanton	2001-04-25	Stanton	Mercer	Pratt through truss
Lisbon Bridge	1997-02-27	Lisbon	Ransom	steel cantilever bean bridge
Midland Continental Overpass	1997-02-27	Jamestown	Stutsman	steel cantilever beam bridge
Midway Bridge	1997-02-27	Johnstown	Grand Forks	Warren Bedstead bridge
Nesheim Bridge	1997-02-27	McVille	Nelson	Pratt through truss
New Rockford Bridge	1997-03-13	New Rockford Closed to traffic [ citation needed ]	Eddy	Warren through truss bridge
Northwood Bridge	1997-02-27	Northwood	Grand Forks	Pratt pony truss
Norway Bridge	1997-02-27	Mayville	Traill	Pratt pony truss
Ost Valle Bridge	1997-02-27	Thompson	Grand Forks	Pratt through truss
Romness Bridge	1997-02-27	Cooperstown	Griggs	Pratt through truss
Sorlie Memorial Bridge	1999-07-19	Grand Forks	Grand Forks	Parker through truss bridge
Viking Bridge	1997-02-27	Portland	Traill	Pratt through truss
West Antelope Bridge	1997-02-27	Flora	Benson	Pratt pony truss bridge
West Park Bridge	1997-02-27	Valley City	Barnes	concrete false arch bridge
Westgaard Bridge	1997-02-27	Voltaire	McHenry	Pratt pony through truss
Blanchard Bridge	1997-02-27 removed 2009-3-25	Blanchard	Traill	Pratt through truss
Goose River Bridge	1997-02-27 removed 2009-3-25	Hillsboro	Traill	Pratt through truss
Liberty Memorial Bridge	1997-03-11 removed 2009-3-25	Bismarck	Burleigh	Warren-Turner through truss
Porter Elliott Bridge	1997-02-27 removed 2009-3-25	Hillsboro	Traill	Warren through truss
Portland Park Bridge	removed 2004-09-23	Portland	Traill	steel through girder
Rainbow Arch Bridge	removed 2004-09-23	Valley City	Barnes	Marsh Rainbow Arch
