Year	Song title	Artist	Master recording	NA/UK/AUS/JPN/NL tier	European tier
1999	" All Star "	Smash Mouth	Yes	2. Rooftop	2. Rooftop
1999	" All the Small Things "	Blink-182	Yes	1. Subway	1. Subway
2006	" Anna Molly "	Incubus	Yes	5. Battleship	5. Battleship
2003	" Are You Gonna Be My Girl "	Jet	Yes	1. Subway	1. Subway
1995	" Avalancha "	Héroes del Silencio	Yes	N/A	4. Greek Arena
1970	" Black Magic Woman "	Santana	No	4. Greek Arena	3. Parade (encore)
1991	"Breed"	Nirvana	Yes	2. Rooftop	2. Rooftop
2006	"Ça Me Vexe"	Mademoiselle K	Yes	N/A	3. Parade
1973	" China Grove "	Doobie Brothers The Doobie Brothers	Yes	3. Parade	N/A
2005	" Do What You Want "	OK Go	Yes	1. Subway	1. Subway
2004	" Heaven "	Los Lonely Boys	Yes	3. Parade	N/A
2005	" Helicopter "	Bloc Party	Yes	3. Parade	3. Parade
1980	" Hit Me with Your Best Shot "	Pat Benatar	Yes	2. Rooftop	2. Rooftop
2007	" I Don't Wanna Stop "	Ozzy Osbourne	Yes	5. Battleship	5. Battleship
1977	"I Know a Little"	Lynyrd Skynyrd	No	5. Battleship (encore)	5. Battleship (encore)
1981	" Jessie's Girl "	Rick Springfield	Yes	2. Rooftop	N/A
1977	" Jet Airliner "	Steve Miller Band	No	4. Greek Arena	N/A
1989	" Knock Me Down "	Red Hot Chili Peppers	Yes	5. Battleship	5. Battleship
1973	" La Grange "	ZZ Top	No	4. Greek Arena	4. Greek Arena
2004	"Monster"	Beatsteaks	Yes	N/A	2. Rooftop
2007	" Monsoon "	Tokio Hotel	Yes	N/A	3. Parade
1983	" Pride and Joy "	Stevie Ray Vaughan	Yes	5. Battleship	5. Battleship
1975	" Rock and Roll All Nite "	Kiss	No	3. Parade	3. Parade
1985	" Rock the Night "	Europe	Yes	N/A	4. Greek Arena
1995	" Spiderwebs "	No Doubt	Yes	1. Subway	1. Subway
1981	" Stray Cat Strut "	Stray Cats	Yes	4. Greek Arena	4. Greek Arena
2002	" This Love "	Maroon 5	Yes	2. Rooftop (encore)	2. Rooftop (encore)
1984	" We're Not Gonna Take It "	Twisted Sister	Yes	1. Subway (encore)	1. Subway (encore)
2006	" What I Want "	Daughtry featuring Slash	Yes	3. Parade (encore)	N/A
