Locale	Skip	W	L	PF	PA	Ends Won	Ends Lost	Blank Ends	Stolen Ends	Shot Pct.
British Columbia	Marla Mallett	8	3	79	60	45	43	15	10	81
Quebec	Marie-France Larouche	7	4	79	71	50	48	6	8	80
Saskatchewan	Stefanie Lawton	7	4	87	75	53	47	6	16	83
Canada	Jennifer Jones	7	4	82	58	50	39	9	15	83
Prince Edward Island	Rebecca Jean MacPhee	7	4	79	72	49	46	7	14	77
Ontario	Krista McCarville	6	5	81	76	50	52	9	6	79
Alberta	Cheryl Bernard	6	5	69	66	48	42	15	12	81
New Brunswick	Andrea Kelly	5	6	60	77	41	46	13	8	78
Newfoundland and Labrador	Heather Strong	5	6	81	73	49	50	9	10	81
Northwest Territories / Yukon	Kerry Galusha	4	7	77	83	51	52	5	12	75
Nova Scotia	Nancy McConnery	2	9	51	81	37	49	14	5	74
