Year	Horse	Driver	Trainer	Country of owner	Odds of winner	Winning time (km rate)
2009	Triton Sund	Örjan Kihlström	Stefan Hultman	Sweden	4.77	1:11.1
2008	Torvald Palema	Åke Svanstedt	Åke Svanstedt	Sweden	8.29	1:12.2
2007	Gentleman	Thomas Uhrberg	Kari Lähdekorpi	Sweden	11.20	1:12.8
2006	Thai Tanic	Björn Goop	Olle Goop	Norway	6.46	1:13.0
2005	Gidde Palema	Åke Svanstedt	Åke Svanstedt	Sweden	1.51	1:12.9
2004	Gidde Palema	Åke Svanstedt	Åke Svanstedt	Sweden	4.66	1:12.9
2003	Gidde Palema	Åke Svanstedt	Åke Svanstedt	Sweden	19.92	1:13.1
2002	Varenne	Giampaolo Minnucci	Jori Turja	Italy	1.13	1:12.4
2001	Etain Royal	Jorma Kontio	Pirjo Vauhkonen	Finland	1.25	1:13.2
2000	Varenne	Giampaolo Minnucci	Jori Turja	Italy	2.76	1:12.7
1999	Scandal Play	Bo Eklöf	Lars Marklund	Sweden	4.47	1:14.8
1998	Rival Damkaer	Erik Adielsson	Tommy Strandqvist	Sweden	16.66	1:16.2
1997	Scandal Play	Bo Eklöf	Lars Marklund	Sweden	7.37	1:13.7
1996	Copiad	Erik Berglöf	Erik Berglöf	Sweden	1.68	1:13.9
1995	Copiad	Erik Berglöf	Erik Berglöf	Sweden	1.51	1:13.6
1994	Queen L.	Stig H. Johansson	Stig H. Johansson	Sweden	2.55	1:13.8
1993	Queen L.	Stig H. Johansson	Stig H. Johansson	Sweden	2.94	1:14.3
1992	Bravo Sund	Jorma Kontio	Veijo Heiskanen	Sweden	9.25	1:14.3
1991	Karate Chop	Bo Näslund	Bo Näslund	Sweden	16.38	1:15.1
1990	Jet Ribb	Hans G. Eriksson	Per-Erik Eriksson	Sweden	6.77	1:14.6
1989	Callit	Karl O. Johansson	Karl O. Johansson	Sweden	1.39	1:14.9
1988	Sugarcane Hanover	Gunnar Eggen	Gunnar Eggen	United States	5.83	1:14.4
1987	Grades Singing	Ulf Thoresen	Herve Filion	Canada	3.32	1:15.4
1986	Utah Bulwark	Stig H. Johansson	Stig H. Johansson	Sweden	2.50	1:14.5
1985	Meadow Road	Torbjörn Jansson	Torbjörn Jansson	Sweden	2.52	1:15.5
1984	Einarsin	Tapio Perttunen	Tapio Perttunen	Finland	39.45	1:15.1
1982	Jana Bloc	Ove R. Andersson	Ove R. Andersson	Sweden	2.08	1:18.8
1980	Don Ego	Stig H. Johansson	Stig H. Johansson	Sweden	2.75	1:18.4
