Date	Opponent	Venue	Result	Attendance
7 August 1999	Liverpool	H	1-2	34,853
11 August 1999	Manchester United	A	0-4	54,941
14 August 1999	Bradford City	A	1-1	18,276
21 August 1999	Tottenham Hotspur	H	1-2	24,027
25 August 1999	Derby County	H	0-2	20,943
28 August 1999	Southampton	A	0-2	14,815
11 September 1999	Everton	H	0-2	23,539
19 September 1999	Newcastle United	A	0-8	36,619
25 September 1999	Sunderland	A	0-1	41,132
2 October 1999	Wimbledon	H	5-1	18,077
16 October 1999	Leeds United	A	0-2	39,437
23 October 1999	Coventry City	H	0-0	23,296
30 October 1999	Leicester City	A	0-3	19,046
6 November 1999	Watford	H	2-2	21,658
21 November 1999	West Ham United	A	3-4	23,015
5 December 1999	Liverpool	A	1-4	42,517
18 December 1999	Aston Villa	A	1-2	23,885
26 December 1999	Middlesbrough	H	1-0	28,531
29 December 1999	Chelsea	A	0-3	32,938
3 January 2000	Arsenal	H	1-1	26,155
15 January 2000	Bradford City	H	2-0	24,682
22 January 2000	Tottenham Hotspur	A	1-0	35,897
2 February 2000	Manchester United	H	0-1	39,640
5 February 2000	Derby County	A	3-3	30,100
12 February 2000	Southampton	H	0-1	23,470
26 February 2000	Newcastle United	H	0-2	29,212
4 March 2000	Everton	A	1-1	32,020
11 March 2000	West Ham United	H	3-1	21,147
18 March 2000	Watford	A	0-1	15,840
25 March 2000	Middlesbrough	A	0-1	32,748
5 April 2000	Aston Villa	H	0-1	18,136
12 April 2000	Wimbledon	A	2-0	8,248
15 April 2000	Chelsea	H	1-0	21,743
22 April 2000	Sunderland	H	0-2	28,072
30 April 2000	Leeds United	H	0-3	23,416
6 May 2000	Coventry City	A	1-4	19,921
9 May 2000	Arsenal	A	3-3	37,271
14 May 2000	Leicester City	H	4-0	21,656
