Date	Cover model	Centerfold model	Interview subject	20 Questions
1-95	Drew Barrymore	Melissa Deanne Holliday	Jean-Claude Van Damme	Tom Snyder
2-95	Victoria Jacobs	Lisa Marie Scott	Tim Robbins	David Spade
3-95	Amber Smith	Stacy Sanches	Vladimir Zhirinovsky	Jon Stewart
4-95	Shana Hiatt	Danelle Folta	David Mamet	Samuel L. Jackson
5-95	Nancy Sinatra	Cynthia Gwyn Brown	Camille Paglia	David Hasselhoff
6-95	Julie Lynn Cialini	Rhonda Adams	Joycelyn Elders	Tom Arnold
7-95	Sandra Taylor	Heidi Mark	Mel Gibson	Kurt Loder
8-95	Shelly Jones	Rachel Jeán Marteen	Berry Gordy	Dawn Steel
9-95	Kimberley Conrad Hefner	Donna D'Errico	Cindy Crawford	Sandra Bullock
10-95	Lisa Boyle	Alicia Rickter	Snoop Doggy Dogg	Bill Maher
11-95	Tahnee Welch	Holly Witt	Harvey Keitel	G. Gordon Liddy
12-95	Farrah Fawcett	Samantha Torres	George Foreman	Dominick Dunne
