Name	Latitude	Longitude	Diameter (km)	Named after
Abigail	-52.2	111.2	18.4	Hebrew first name
Abika	-52.5	104.4	14.5	Mari first name
Abington	-47.8	277.7	21.7	Frances Abington , British actress
Abra	6.2	97.4	7.2	Ewe first name
Adaiah	-47.3	253.4	18	Hebrew first name
Adamson	-14.8	29.6	27.2	Joy Adamson , Austrian naturalist
Addams	-56.2	98.9	87	Jane Addams , American social reformer
Adivar	8.9	76.2	30.3	Halide Edip Adıvar , Turkish author
Adzoba	12.8	117	10	Ewe first name
Aethelflaed	-18.2	196.6	20	Ethelfleda , n Mercia queen
Afiba	-47.1	102.7	9.5	Ewe first name
Afiruwa	4.3	3.8	5.2	Hausa first name
Aftenia	50	324	7	Moldavian first name
Afua	15.5	124	10	Akan first name
Aglaonice	-26.4	339.9	63.7	Aglaonice , Ancient Greek astronomer
Agnesi	-39.4	37.7	42.4	Maria Agnesi , Italian mathematician
Agoe	13.1	4.3	6.3	Ewe first name
Agrippina	-33.2	65.7	38.6	Agrippina the Elder , Roman empress
Ahava	53.6	187.3	10.4	Hebrew first name
Aigul	38.2	280.4	6	ia Kalmyk first name
Ailar	-15.8	68.4	8.2	Turkish first name
Aimee	16.1	127.2	17	French first name
Aisha	39.3	53.3	10.6	Arabic first name
Aita	8.9	270.7	14	Estonian first name
Akeley	8	244.5	23.4	Delia Akeley , American explorer
Akhmatova	61.3	307.9	41.4	Anna Akhmatova , Russian poet
Akiko	30.6	187.3	17.4	Yosano Akiko , Japanese poet
Akosua	-58.6	18.1	6.2	Akan first name
Aksentyeva	-42	271.9	42.5	Zinaida Aksentyeva , Russian astronomer
Akuba	9.6	23	5.5	Ewe first name
Al-Taymuriyya	32.9	336.1	19	Ayesha Al-Taymuriyya , ian Egypt author
Alcott	-59.5	354.4	66	Louisa May Alcott , American author
Alima	-46	229.2	10.3	Arabic first name
Alimat	-29.5	205.9	13.5	Osset first name
Alina	8.3	267.78	3.7	Short form of French first name Adeline/Adelaide
Alison	-4	165.6	14.4	Irish first name
Alma	-2.4	228.8	16.8	Kazakh first name
Almeida	46.6	123.3	15.5	Portuguese first name
Altana	1.4	69.9	6	Kalmyk first name
Amalasuntha	-11.5	342.4	15.4	Amalasuntha , Ostrogoth queen
Amanda	-29.2	94.5	12.5	Latin first name
Amaya	11.3	89.4	34.5	Carmen Amaya , Spanish dancer
Amelia	8.57	280.45	3.3	Latin first name
Amenardes	15	54.3	27.9	Amenardes , ian Egypt princess
Aminata	6.6	25.2	9.7	Mandinka first name
Anaxandra	44.2	162.3	20.4	Anaxandra , Ancient Greek artist
Andami	-17.5	26.5	28.9	Azar Andami , ian Iran physician and researcher
Andreianova	-3	68.8	66.1	Elena Andreianova , Russian ballerina
Anicia	-26.3	31.3	38.2	Anicia , Ancient Greek physician and poet
Annia Faustina	22.1	4.7	23.4	Faustina the Younger , Roman empress
Antonina	28.1	106.8	13.8	Russian first name
Anush	14.9	86.5	12.7	Armenian and Persian first name
Anya	39.5	297.8	18.1	Russian first name
Ariadne	43.9	360	23.6	Greek first name
Asmik	3.9	166.4	19.5	Armenian first name
Astrid	-21.4	335.2	10.5	Scandinavian first name
Audrey	23.8	348.1	15.2	English first name
Aurelia	20.3	331.8	31.1	Aurelia , mother of Julius Caesar
Austen	-25	168.4	45.1	Jane Austen , British novelist
Avene	40.4	149.4	10	Akan first name
Avviyar	-18	353.7	20.6	Avviyar , Tamil novelist
Ayana	-29.2	175.5	13.8	Altay first name
Ayashe	22.7	31.4	6.7	Hausa first name
Ayisatu	34.6	5.5	7	Fula first name
