Model	Engine	Cyl.	Power	Torque
S280	2.8 18V	V6	PS (kW; hp)	N·m (lb·ft)
S320	3.2 18V	V6	PS (kW; hp)	N·m (lb·ft)
S350	3.7 18V	V6	PS (kW; hp)	N·m (lb·ft)
S430	4.3 24V	V8	PS (kW; hp)	N·m (lb·ft)
S500 ('00-'06)	5.0 24V	V8	PS (kW; hp)	N·m (lb·ft)
S600 ('01-'02)	5.8 36V	V12	PS (kW; hp)	N·m (lb·ft)
S600 ('02-'05)	5.5 36V Bi-Turbo	V12	PS (kW; hp)	N·m (lb·ft)
S55 AMG ('01-'02)	5.4 24V AMG	V8	PS (kW; hp)	N·m (lb·ft)
S55 AMG ('03-'06)	5.4 24V SC AMG	V8	PS (kW; hp)	N·m (lb·ft)
S63 AMG ('01)	6.3	V12	PS (kW; hp)	N·m (lb·ft)
S65 AMG ('05-'06)	6.0 36V Turbo	V12	PS (kW; hp)	N·m (lb·ft)
S320 CDI	3.2 24V CDI	I6	PS (kW; hp)	N·m (lb·ft)
S400 CDI	4.0 32V CDI	V8	PS (kW; hp)	N·m (lb·ft)
