January	February	March	April	June	July	August	September	October	November	December
Gig Gangel	Sandy Cagle	Henriette Allais	Liz Glazowski	Ola Ray	Teri Peterson	Victoria Cooke	Lisa Welch	Mardi Jacquet	Jeana Tomasino	Terri Welles
Karen Price	Vicki Lynn Lasseter	Kymberly Herrin	Lorraine Michaels	Cathy Larmouth	Heidi Sorenson	Debbie Boostrom	Susan Smith	Kelly Tough	Shannon Tweed	Patricia Farinelli
Kimberly McArthur	Anne-Marie Fox	Karen Witter	Linda Rhys Vaughn	Lourdes Estores	Lynda Wiesmeier	Cathy St. George	Connie Brighton	Marianne Gravatte	Marlene Janssen	Charlotte Kemp
Lonny Chin	Melinda Mays	Alana Soares	Christina Ferguson	Jolanda Egger	Ruth Guerri	Carina Persson	Barbara Edwards	Tracy Vaccaro	Veronica Gamba	Terry Nihen
Penny Baker	Justine Greiner	Dona Speir	Lesa Ann Pedriana	Tricia Lange	Liz Stewart	Suzi Schott	Kimberly Evenson	Debi Johnson	Roberta Vasquez	Karen Velez
Joan Bennett	Cherie Witter	Donna Smith	Cindy Brooks	Devin DeVasquez	Hope Marie Carlton	Cher Butler	Venice Kong	Cynthia Brimhall	Pamela Saunders	Carol Ficatier
Sherry Arnett	Julie McCullough	Kim Morris	Teri Weigel	Rebecca Ferratti	Lynne Austin	Ava Fabian	Rebekka Armstrong	Katherine Hushaw	Donna Edmondson	Laurie Carr
Luann Lee	Julie Peterson	Marina Baker	Anna Clark	Sandy Greenberg	Carmen Berg	Sharry Konopski	Gwen Hajek	Brandi Brandt	Pamela Stein	India Allen
Kimberley Conrad	Kari Kennell	Susie Owens	Eloise Broady	Emily Arth	Terri Lynn Doss	Helle Michaelsen	Laura Richmond	Shannon Long	Pia Reyes	Kata Kärkkäinen
Fawna MacLaren	Simone Eden	Laurie Wood	Jennifer Jackson	Tawnni Cable	Erika Eleniak	Gianna Amore	Karin van Breeschooten & Mirjam van Breeschooten	Karen Foster	Renee Tenison	Petra Verkaik
