Result	Opponent	Type	Rd., Time	Date
Loss	Rowland Bryant	TKO	3 (10)	2012-04-21
Win	Matt O'Brien	TKO	3 (10)	2011-08-27
Loss	Aaron Pryor Jr	MD	10	2011-05-06
Win	Eric Lucas	RTD	8 (10)	2010-05-28
Loss	Lucian Bute	KO	4 (12), 2:57	2009-11-28
Win	Vitali Tsypko	UD	12	2009-04-04
Loss	Lucian Bute	UD	12	2008-10-24
Win	Robert Stieglitz	TKO	8 (12), 1:53	2008-03-22
Win	Yusaf Mack	TKO	7 (12), 2:34	2007-10-06
Win	Ted Muller	TKO	2 (8), 1:48	2007-07-21
Loss	Mikkel Kessler	UD	12	2007-03-24
Win	Richard Grant	KO	1 (10), 2:49	2006-09-15
Win	Otis Grant	RTD	7 (12)	2006-04-08
Win	Nicolas Cervera	TK0	3 (10), 1:09	2005-02-04
Win	Thomas Reid	TKO	4 (10), 1:52	2004-12-16
Win	Vitali Kopitko	TKO	2 (10), 0:27	2004-09-30
Win	Tito Mendoza	UD	12	2004-06-24
Win	Willie Stewart	UD	12	2004-03-19
Win	Leonard Townsend	TKO	2 (10), 3:00	2003-11-06
Win	Eduardo Ayala	TKO	7 (10)	2003-07-10
Win	Errol Banner	KO	2 (6), 0:32	2003-04-17
Win	Juan Carlos Barreto	TKO	1 (6), 2:40	2003-02-28
Win	Shannon Miller	TKO	2 (6), 2:29	2002-09-28
Win	Pat Lawlor	TKO	2 (6), 3:00	2002-06-24
Win	Ruben Perez	UD	6	2001-09-27
Win	Jimmy Hagar	UD	6	2001-06-19
Win	Harold Lowe	KO	2 (4), 1:54	2001-05-24
Win	Eric Benito Tzand	KO	3 (6), 0:45	2001-03-29
Win	Sheridan Page	KO	1 (4), 2:06	2001-01-18
Win	Marcus Harvey	UD	4	2000-08-17
Win	Bernard Temple	KO	4 (4), 2:59	2000-05-18
Win	Terry Smith	KO	2 (4)	2000-04-13
Win	Paul Jones	KO	4 (4)	2000-02-03
Win	George Johnson	KO	1 (4)	1999-12-02
Win	Marcus Harvey	UD	4	1999-08-14
