Period	Births	Deaths	Difference	Crude Birth Rate	Crude Death Rate	Natural Increase	Total Fertility Rate	Infant Mortality Rate
1950 - 1955	230 000	114 000	116 000	238	118	120	270	905
1955 - 1960	372 000	109 000	263 000	362	106	256	380	759
1960 - 1965	381 000	106 000	275 000	328	91	237	341	669
1965 - 1970	490 000	105 000	385 000	369	79	290	409	563
1970 - 1975	458 000	92 000	365 000	302	61	241	372	441
1975 - 1980	317 000	83 000	233 000	190	50	140	258	352
1980 - 1985	388 000	92 000	296 000	216	51	165	293	299
1985 - 1990	389 000	105 000	284 000	200	54	146	245	261
1990 - 1995	450 000	124 000	326 000	215	59	155	240	243
1995 - 2000	443 000	219 000	225 000	198	98	101	220	549
2000 - 2005	379 000	209 000	170 000	163	90	73	205	285
