Outcome	Date	Surface	Partner	Opponents	Score
Runner-up	February 18, 2007	Hard	Hsieh Su-wei	Chan Yung-jan Chuang Chia-jung	7–6 (7–4) , 2–6, [9–11]
Winner	September 23, 2007	Hard	Vania King	Alberta Brianti Mariya Koryttseva	6–1, 6–4
Runner-up	July 13, 2008	Clay	Anastasia Pavlyuchenkova	Sara Errani Nuria Llagostera Vives	6–2, 6–7 (1–7) , [4–10]
Runner-up	October 11, 2009	Hard	Ekaterina Makarova	Hsieh Su-wei Peng Shuai	3–6, 1–6
Runner-up	May 22, 2010	Clay	Anastasia Rodionova	Alizé Cornet Vania King	6–3, 4–6, [7–10]
Winner	June 20, 2010	Grass	Anastasia Rodionova	Vania King Yaroslava Shvedova	3–6, 6–3, [10–8]
Winner	February 19, 2011	Hard (i)	Olga Govortsova	Andrea Hlaváčková Lucie Hradecká	6–3, 4–6, [10–8]
Winner	June 12, 2011	Grass	Olga Govortsova	Sara Errani Roberta Vinci	1–6, 6–1, [10–5]
Runner-up	July 31, 2011	Hard	Olga Govortsova	Sania Mirza Yaroslava Shvedova	3–6, 3–6
Winner	September 15, 2013	Carpet (i)	Anastasia Rodionova	Andrea Hlaváčková Lucie Hradecká	6–4, 6–3
Runner-up	October 20, 2013	Hard (i)	Anastasia Rodionova	Svetlana Kuznetsova Samantha Stosur	1–6, 6–1, [8–10]
