Rank	Peak	Country	Island	Elevation (m)	Prominence (m)	Col (m)
1	Aoraki/Mount Cook	New Zealand	South Island	3,755	3,755	0
2	Mount Ruapehu	New Zealand	North Island	2,797	2,797	0
3	Mount Aspiring/Tititea	New Zealand	South Island	3,033	2,471	562
4	Mount Taranaki/Egmont	New Zealand	North Island	2,518	2,308	210
5	Mount Tutoko	New Zealand	South Island	2,723	2,191	532
6	Mount Tapuaenuku	New Zealand	South Island	2,884	2,021	863
7	Single Cone	New Zealand	South Island	2,319	1,969	350
8	Manakau	New Zealand	South Island	2,608	1,798	810
9	Mount Taylor	New Zealand	South Island	2,333	1,636	698
10	Skippers Range High Point	New Zealand	South Island	1,648	1,598	50
