Place	Name	From	Until	Titles	Seconds	Thirds
1.	Willi Schneider	1993	2003	9	1	1
2.	Rudi Häusler	1972	1984	6	2	1
3.	Franz Kleber	1980	1987	5	2	1
4.	Florian Grassl	2003	2009	2	2	2
5.	Thomas Platzer	1990	1992	2	1	–
6.	Manfred Markl	1988	1993	2	–	2
7.	Sebastian Haupt	2006	2008	2	–	1
8.	Josef Grubmüller	1971	1974	2	–	–
9.	Frank Kleber	2001	2007	1	3	3
10.	Richard Baumann	1987	1992	1	3	1
11.	Andy Böhme	1995	2002	1	2	1
12.	Hans Kindl	1971	1986	1	1	4
13.	Helmut Spieß	1977	1980	1	1	1
13.	Peter Strittmatter	1985	1987	1	1	1
13.	Dirk Matschenz	1999	2001	1	1	1
16.	Mirsad Halilovic	2009	2011	1	–	1
17.	Reto Gansser	1972	1972	1	–	–
17.	David Lingmann	2010	2010	1	–	–
17.	F. Herborn	1938	1938	1	–	–
17.	Sandro Stielicke	2011	2011	1	–	–
17.	R. Wenzel	1934	1934	1	–	–
17.	H. Wiedermann	1935	1935	1	–	–
17.	M. Zentzytzki	1914	1914	1	–	–
