Song	Singer	Co-Singers	Music Director	Lyricist	Co-Stars	Movie/Album	Year	Additional Info
Pata Note Karo Hamara	Mohammed Rafi	N/A	Nashad	Raja Mehdi Ali Khan	Dancers	Zara Bachke	1959	N/A
Main Bambai Ka Babu	Mohammed Rafi	N/A	O. P. Nayyar	Sahir Ludhianvi	Dilip Kumra & Vaijayantimala	Naya Daur	1957	N/A
Main Hoon Johnny	Mohammed Rafi	N/A	O. P. Nayyar	Qamar Jalalabadi	Minu Mumtaz	Mai Baap	1957	Tribute To Johnny
Sab Se Mehangi Cheez Mohabbat	Mohammed Rafi	N/A	Hemant Kumar	Rajendra Krishan	Dancers	Anjaan	1956	Song Ends With Tribute to Johnny
Garaz Ho To Nakhre Dikhati Hai Bibi	Mohammed Rafi	N/A	Datta Naik	Sahir Ludhianvi	Ms. Shammi	Sachche Moti	1962	Song Ends With Tribute to Johnny
Hum Tum Jise Kehta Hai Shadi	Mohammed Rafi	N/A	Sachin Dev Burman	Shailendra	Minu Mumtaz	Kagaz Ke Phool	1959	N/A
Dil To Kisi Ko Doge	Mohammed Rafi	N/A	Ravi Shankar Sharma (Bombay Ravi)	Prem Dhawan	Minu Mumtaz	Ek Saal	1957	N/A
Yeh Ras Teri Baaton Ka Chocolate	Mohammed Rafi	N/A	Chitragupt	Rajendra Krishan	Minu Mumtaz	Ghar Basake Dekho	1963	N/A
Aashiq Hoon Apne Pyar Ka	Mohammed Rafi	N/A	Ravi Shankar Sharma (Bombay Ravi)	Shakeel Badayuni	Ms. Shammi	Kaun Apna Kaun Paraya	1963	N/A
Kisi Ka Kho Gaya Hai	Mohammed Rafi	N/A	Madan Mohan Kohli	Raja Mehdi Ali Khan	N/A	Dulhan Ek Raat Ki	1966	N/A
Tirchi Nazar Se Na Dekh	Mohammed Rafi	N/A	Shankar-Jaikishan	Hasrat Jaipuri	Sunil Dutt	Ek Phool Chaar Kaante	1960	N/A
Teri Nazaron ne Aisa Kata	Mohammed Rafi	N/A	Dattaram Wadkar	Gulshan Banwara	Helen	Neeli Aankhen	1962	N/A
Ab Darr Hai Kis Ka Pyare	Mohammed Rafi	N/A	C. Ramchndra	Rajendra Krishan	Mukri	Amar Deep	1958	N/A
Tum Se Dil Kya Lagaya	Mohammed Rafi	N/A	O. P. Nayyar	Jan NisarAkhatar	N/A	Duniya Rang Rangeeli	1957	N/A
Aji Surat Ho To Aisi Ho	Mohammed Rafi	N/A	Kalyanji-Anandji	Qamar Jalalabadi	N/A	Kahin Pyar Na Ho Jaye	1963	N/A
Thoda Sa Hum Ko Sharbate Didar Chahiye	Mohammed Rafi	N/A	Sudipt	Roopbani	N/A	Ghulam Begham Badshah	1956	Qawali
Mera Yaar Bana Hai Dulha	Mohammed Rafi	N/A	Ravi ShankarSharma (Bombay Ravi)	Shakeel Badayuni	Guru Dutt	Chaudhvin Ka Chand	1960	Qawali
