Year	Competition	Venue	Position	Event
2005	European U23 Championships	Erfurt, Germany	9th	3000 m st.
2005	Universiade	İzmir , Turkey	11th	3000 m st.
2006	European Championships	Gothenburg , Sweden	17th (h)	3000 m st.
2006	European Cross Country Championships	San Giorgio su Legnano , Italy	2nd	Under-23 race
2007	World Cross Country Championships	Mombasa , Kenya	14th	Senior race
2007	World Championships	Osaka , Japan	12th	3000 m st.
2008	World University Cross Country Championships	Haute Normandie - Rouen , France	2nd	Under-23
2008	Olympic Games	Beijing, China	heats	3000 m st.
2009	Universiade	Belgrade, Serbia	6th	3000 m st.
2010	European Championships	Barcelona , Spain	11th	3000 m st.
2011	World Championships	Daegu, South Korea	heats	3000 m st.
2011	European Cross Country Championships	Velenje , Slovenia	1st	Senior race
2012	European Championships	Helsinki , Finland	4th	10000 m
2012	Olympic Games	London, England	15th	10,000 m
2012	Olympic Games	London, England	heats	5000 m
2012	European Cross Country Championships	Budapest , Hungary	1st	Senior race
2013	European Indoor Championships	Gothenburg , Sweden	3rd	3000m
2013	World Cross Country Championships	Bydgoszcz , Poland	14th	Senior Race
