Driver	Team	Laps	Time/Retired	Grid	Points
Sébastien Bourdais	Newman/Haas Racing	97	1:38:00.168	1	34
Cristiano da Matta	RuSPORT	97	+6.686 secs	4	27
Justin Wilson	RuSPORT	97	+8.100 secs	12	26
Nelson Philippe	CTE Racing-HVM	97	+11.059 secs	11	23
Mario Domínguez	Dale Coyne Racing	97	+12.147 secs	10	21
Will Power	Team Australia	97	+12.957 secs	6	19
A. J. Allmendinger	Forsythe Racing	97	+13.288 secs	3	17
Oriol Servià	PKV Racing	97	+15.920 secs	5	16
Charles Zwolsman	Mi-Jack Conquest Racing	97	+16.458 secs	14	14
Nicky Pastorelli	Rocketsports Racing	97	+21.580 secs	17	11
Jan Heylen	Dale Coyne Racing	97	+25.360 secs	16	10
Katherine Legge	PKV Racing	90	+ 7 Laps	15	9
Andrew Ranger	Mi-Jack Conquest Racing	80	Contact	8	8
Alex Tagliani	Team Australia	52	Contact	13	7
Paul Tracy	Forsythe Racing	51	Contact	2	0 *
Dan Clarke	CTE Racing-HVM	49	Gearbox	9	5
Bruno Junqueira	Newman/Haas Racing	2	Contact	7	4
