Outcome	Year	Championship	Surface	Partner	Opponents	Score
Winner	1978	Wimbledon	Grass	Kerry Melville Reid	Mima Jaušovec Virginia Ruzici	4–6, 9–8(12–10), 6–3
Runner-up	1978	US Open	Hard	Kerry Melville Reid	Billie Jean King Martina Navrátilová	7–6, 6–4
Winner	1979	French Open	Clay	Betty Stöve	Françoise Dürr Virginia Wade	3–6, 7–5, 6–4
Runner-up	1979	Wimbledon	Grass	Betty Stöve	Billie Jean King Martina Navrátilová	5–7, 6–3, 6–2
Winner	1979	US Open	Hard	Betty Stöve	Billie Jean King Martina Navrátilová	7–5, 6–3
Runner-up	1980	Wimbledon	Grass	Rosie Casals	Kathy Jordan Anne Smith	4–6, 7–5, 6–1
Runner-up	1981	US Open	Hard	Rosie Casals	Kathy Jordan Anne Smith	6–3, 6–3
Runner-up	1982	French Open	Clay	Rosie Casals	Martina Navratilova Anne Smith	6–3, 6–4
Winner	1982	US Open	Hard	Rosie Casals	Barbara Potter Sharon Walsh	6–4, 6–4
Runner-up	1983	Wimbledon	Grass	Rosie Casals	Martina Navratilova Pam Shriver	6–2, 6–2
Runner-up	1983	Australian Open	Grass	Anne Hobbs	Martina Navratilova Pam Shriver	6–4, 6–7, 6–2
Runner-up	1984	US Open	Hard	Anne Hobbs	Martina Navratilova Pam Shriver	6–2, 6–4
Runner-up	1986	Wimbledon	Grass	Hana Mandlíková	Martina Navratilova Pam Shriver	6–1, 6–3
Runner-up	1986	US Open	Hard	Hana Mandlíková	Martina Navratilova Pam Shriver	6–4, 3–6, 6–3
