Race Name	Circuit	Date	Winning driver	Constructor	Report
IV Lombank Trophy	Snetterton	30 March	Graham Hill	BRM	Report
XXIII Pau Grand Prix	Pau	15 April	Jim Clark	Lotus - Climax	Report
XI Glover Trophy	Goodwood	15 April	Innes Ireland	Lotus - BRM	Report
IV Gran Premio Citta di Imola	Imola	21 April	Jim Clark	Lotus - Climax	Report
XIV Gran Premio di Siracusa	Syracuse	25 April	Jo Siffert	Lotus - BRM	Report
XIX BARC Aintree 200	Aintree	27 April	Graham Hill	BRM	Report
XVI BRDC International Trophy	Silverstone	11 May	Jim Clark	Lotus - Climax	Report
XV Gran Premio di Roma	Vallelunga	19 May	Bob Anderson	Lola - Climax	Report
III Solituderennen	Solitudering	28 July	Jack Brabham	Brabham - Climax	Report
XII Kanonloppet	Karlskoga	11 August	Jim Clark	Lotus - Climax	Report
III Mediterranean Grand Prix	Enna Pergusa	18 August	John Surtees	Ferrari	Report
I Austrian Grand Prix	Zeltweg	1 September	Jack Brabham	Brabham - Climax	Report
X International Gold Cup	Oulton Park	21 September	Jim Clark	Lotus - Climax	Report
Rand Grand Prix	Kyalami	14 December	John Surtees	Ferrari	Report
