Season	Oberbayern A	Oberbayern B	Niederbayern	Schwaben	Oberpfalz
1951-52	SC München-Süd	SpVgg Helios München	SpVgg Plattling	FC Kempten	SV Mitterteich
1952-53	MTV Ingolstadt	FC Penzberg	SpVgg Deggendorf	TSV Kottern	SV Mitterteich
1953-54	BSC Sendling	TSV Raubling	SV Saal	SpVgg Kaufbeuren	TV Sulzbach-Rosenberg
1954-55	TSG Pasing	ASV Dachau	SV Saal	FC Memmingen	FC Maxhütte-Haidhof
1955-56	FC Bayern Munich II	SV Aubing	1. FC Passau	FC Kempten	FC Schwandorf
1956-57	TSG Pasing	SC 1906 München	1. FC Passau	FC Kempten	FC Maxhütte-Haidhof
1957-58	SpVgg Helios München	SV Aubing	1. FC Passau	SpVgg Kaufbeuren	SpVgg Vohenstrauß
1958-59	TSV 1860 Munich II	FSV Pfaffenhofen	SpVgg Deggendorf	FC Memmingen	Turnerschaft Regensburg
1959-60	TSV 1860 Rosenheim	TSG Pasing	SpVgg Landshut	TSV Kottern	TuS Rosenberg
1960-61	FC Oberau	ESV Ingolstadt	1. FC Passau	TSV Königsbrunn	TV Wackersdorf
1961-62	Wacker Burghausen	FC Wacker München	SV Saal	BC Augsburg II	Jahn Regensburg II
