Round	Pick	Player	Position	Team	College
1	1	Clifton McNeely Category:Articles with hCards #	–	Pittsburgh Ironmen	Texas Wesleyan
1	2	Glen Selbo Category:Articles with hCards	G/F	Toronto Huskies	Wisconsin
1	3	Bulbs Ehlers Category:Articles with hCards	G/F	Boston Celtics	Purdue
1	4	Walt Dropo Category:Articles with hCards #	–	Providence Steamrollers	Connecticut
1	5	Dick Holub Category:Articles with hCards	C	New York Knicks	Long Island
1	6	Chink Crossin Category:Articles with hCards	G	Philadelphia Warriors	Pennsylvania
1	7	Jack Underman Category:Articles with hCards #	–	St. Louis Bombers	Ohio State
1	8	Paul Huston Category:Articles with hCards	F	Chicago Stags	Ohio State
1	9	Dick O'Keefe Category:Articles with hCards	G/F	Washington Capitols	Santa Clara
1	10	Larry Killick Category:Articles with hCards #	–	Baltimore Bullets	Vermont
