Event	Record	Athlete	Nationality	Date
100 m	10.75 (+0.6 m/s)	Marion Jones	United States	14 July 1998
100 m	10.75 (+0.4 m/s)	Kerron Stewart	Jamaica	10 July 2009
200 m	22.19 (+0.8 m/s)	Marion Jones	United States	7 July 1999
400 m	49.17	Marita Koch	East Germany	10 September 1986
800 m	1:55.69	Pamela Jelimo	Kenya	11 July 2008
1500 m	3:56.54	Abeba Aregawi	Ethiopia	31 May 2012
Mile	4:21.38	Paula Ivan	Romania	19 July 1989
3000 m	8:23.96	Olga Yegorova	Russia	29 June 2001
5000 m	14:32.57	Tirunesh Dibaba	Ethiopia	11 July 2008
100 m hurdles	12.39 (+1.5 m/s)	Vera Komisova	Soviet Union	5 August 1980
400 m hurdles	52.82	Lashinda Demus	United States	10 June 2010
3000 m steeplechase	9:11.58	Gulnara Galkina-Samitova	Russia	10 July 2009
High jump	2.03 m	Yelena Slesarenko	Russia	2 July 2004
High jump	2.03 m	Hestrie Cloete	South Africa	2 July 2004
High jump	2.03 m	Blanka Vlašić	Croatia	10 June 2010
High jump	2.03 m	Chaunté Howard-Lowe	United States	10 June 2010
Pole vault	5.03 m	Yelena Isinbayeva	Russia	13 July 2007
Long jump	7.23 m (−0.3 m/s)	Marion Jones	United States	14 July 1998
Triple jump	15.29 m (+0.3 m/s)	Yamilé Aldama	Cuba	11 July 2003
Shot put	21.03 m	Valerie Adams	New Zealand	31 May 2012
Discus throw	68.90 m	Tsvetanka Khristova	Bulgaria	10 September 1986
Javelin throw	68.66 m	Barbora Špotáková	Czech Republic	10 June 2010
