No. in series	No. in season	Title	Directed by	Written by	Original air date	Ratings
418	1	"Against the Wall (Part 2)"	Peter Fisk	Sean Nash	12February2008	1.155
419	2	"The Simple Things" "Simple Things"	Geoffrey Cawthorn	Louise Crane-Bowes	19February2008	1.152
420	3	"Comfort Zone"	Lynn Hegarty	Peter Dick & Lily Taylor	26February2008	1.152
421	4	"Event Horizon"	Lynn-Maree Danzey	Jeff Truman & Linda Stainton	4March2008	1.021
422	5	"Caught in a Trap"	Nicholas Buffalo	Sally Webb	11March2008	1.172
423	6	"Careful What You Wish For"	Geoffrey Cawthorn	Trent Atkinson	18March2008	1.093
424	7	"Little Decisions"	Peter Fisk	Martin McKenna	25March2008	1.297
425	8	"Beginnings"	Martin Sacks	Denise Morgan	1April2008	1.073
426	9	"When Tomorrow Comes"	Nicholas Buffalo	Sam Meikle	8April2008	1.077
427	10	"Out of the Fire"	Jessica Hobbs	Charlie Strachan	15April2008	1.185
428	11	"It Ain't Necessarily So"	Jean-Pierre Mignon	Sean Nash	22April2008	1.184
429	12	"The Hand You're Dealt"	Ian Watson	Blake Ayshford	29April2008	1.251
430	13	"Stepping Up"	Martin Sacks	Robert Haywood	6May2008	1.202
431	14	"The Circle of Life"	Ian Gilmourn	Jeff Truman & Jo Watson	13May2008	1.219
432	15	"That Window in Time"	Peter Fisk	Sally Webb	20May2008	1.268
433	16	"Never Tell"	Jean-Pierre Mignon	Fiona Kelly	27May2008	1.330
434	17	"Risky Business"	Andrew 'Killer' Bowden	Chris McCourt	3June2008	1.339
435	18	"Under My Skin"	Jessica Hobbs	Trent Atkinson	10June2008	1.296
436	19	"Blind Faith"	Ian Gilmourn	Lily Taylor	17June2008	1.380
437	20	"Torn Apart"	Martin Sacks	Charlie Strachan	24June2008	1.300
438	21	"Justice for None"	Jean-Pierre Mignon	Sean Nash	1July2008	1.148
439	22	"Fearless and Searching"	Daniel Nettheim	Blake Ayshford	8July2008	1.274
440	23	"Bloodlines"	Jet Wilkinson	Denise Morgan	15July2008	1.356
441	24	"Sons and Lovers"	Ian Gilmourn	Jeff Truman	22July2008	1.407
442	25	"Horses for Courses"	Marcus Cole	Trent Atkinson	29July2008	1.313
443	26	"Wishlist"	Nicholas Buffalo	Chris McCourt	5August2008	1.290
444	27	"Best Laid Plans"	Jean-Pierre Mignon	Louise Crane-Bowes	26August2008	1.273
445	28	"Echoes"	Kate Woods	Sally Webb	2September2008	1.319
Starring Australian actor Burgess Abernethy	Starring Australian actor Burgess Abernethy	Starring Australian actor Burgess Abernethy	Starring Australian actor Burgess Abernethy	Starring Australian actor Burgess Abernethy	Starring Australian actor Burgess Abernethy	Starring Australian actor Burgess Abernethy
446	29	"Solitary Confinement"	Ian Gilmourn	Fiona Kelly	9September2008	N/A
447	30	"Better Safe Than Sorry"	Marcus Cole	Jenny Lewis	16September2008	N/A
448	31	"Not What You'd Expect"	Jean-Pierre Mignon	Sean Nash	23September2008	N/A
449	32	"Training Wheels"	Jet Wilkinson	Trent Atkinson	30September2008	N/A
450	33	"When the Party's Over"	Kay Pavlou	Andrew Kelly	7October2008	N/A
451	34	"Out on a Limb"	Cherie Nowlan	Charlie Strachan	14October2008	N/A
452	35	"Running for Cover"	Lynn-Maree Danzey	Clare Atkinson	21October2008	N/A
453	36	"Reality Check"	Kate Woods	Chris McCourt	28October2008	N/A
454	37	"Secrets and Lies"	Jet Wilkinson	Trent Atkinson	4November2008	N/A
455	38	"A Safe Place"	Ian Watson	Sally Webb	11November2008	N/A
456	39	"Spining Out"	Kay Pavlou	Fiona Kelly	18November2008	N/A
457	40	"Time Bombs"	Lynn-Maree Danzey	Alexa Wyatt	25November2008	N/A
