Week	Dance/song	Horwood	Goodman	Dixon	Tonioli	Total	Result
1	Cha-Cha-Cha / Ain't No Mountain High Enough	7	8	8	8	31	N/A
2	Foxtrot / She Said	7	8	8	8	31	Safe
3	Quickstep / Dreaming Of You	8	7	8	8	31	Safe
4	Charleston / Forty-Second Street	9	9	9	8	35	Safe
5	Argentine Tango / Bat Out of Hell	8	8	9	9	34	Safe
6	Viennese Waltz / Where the Wild Roses Grow	8	9	9	9	35	Safe
7	Rumba / Too Lost in You	8	9	9	9	35	Safe
8	Samba / Young Hearts Run Free	9	9	10	10	38	Safe
10	Jive / Soul Bossa Nova	8	9	9	9	35	Safe
11	Salsa / Spinning Around	7	7	7	7	28	Safe
11	Swing / In the Mood	N/A	N/A	N/A	N/A	2nd/4 points	Safe
11	Tango / Hung Up	9	10	10	9	38	Safe
12	Samba / Young Hearts Run Free	9	9	10	10	38	Second place
12	Showdance / I Like The Way (You Move)	7	9	9	9	34	Second place
12	Paso Doble / Don't Let Me Be Misunderstood	9	8	9	9	35	Second place
