Week	Date	Opponent	Result	Attendance
1	Bye	Bye	Bye	Bye
2	September 10, 2000	Cleveland Browns	L 24–7	64,006
3	September 17, 2000	at Jacksonville Jaguars	L 13–0	45,653
4	September 24, 2000	at Baltimore Ravens	L 37–0	68,481
5	October 1, 2000	Miami Dolphins	L 31–16	61,535
6	October 8, 2000	Tennessee Titans	L 23–14	63,406
7	October 15, 2000	at Pittsburgh Steelers	L 15–0	54,328
8	October 22, 2000	Denver Broncos	W 31–21	61,603
9	October 29, 2000	at Cleveland Browns	W 12–3	73,118
10	November 5, 2000	Baltimore Ravens	L 27–7	54,759
11	November 12, 2000	at Dallas Cowboys	L 23–6	62,170
12	November 19, 2000	at New England Patriots	L 16–13	60,292
13	November 26, 2000	Pittsburgh Steelers	L 48–28	63,925
14	December 3, 2000	Arizona Cardinals	W 24–13	50,289
15	December 10, 2000	at Tennessee Titans	L 35–3	68,498
16	December 17, 2000	Jacksonville Jaguars	W 17–14	50,469
17	December 24, 2000	at Philadelphia Eagles	L 16–7	64,902
