Date	Opponent	Score	Attendance	Record
April 10	Cubs	11-2	25,271	1-0
April 11	Cubs	2-0	20,336	2-0
April 12	Cubs	2-0	7,838	3-0
April 13	@ Phillies	2-3	12,633	3-1
April 14	@ Phillies	0-3	2,732	3-2
April 17	@ Mets	5-2 (11)	3,191	4-2
April 18	@ Cubs	2-3 (10)	3,318	4-3
April 19	@ Cubs	6-0	3,835	5-3
April 21	Phillies	1-3	21,841	5-4
April 22	Phillies	3-4	13,130	5-5
April 24	Cardinals	4-3	19,335	6-5
April 25	Cardinals	5-5 (17)	17,265	6-5
April 26	Cardinals	2-3	15,129	6-6
April 27	Braves	1-2	16,160	6-7
April 28	Braves	3-9	22,501	6-8
April 29	Braves	3-2	21,050	7-8
