#	Date	Opponent	Site/Stadium	Score	Win	Loss	Save	Attendance	Overall Record	Pac-10 Record
39	May 1	Arizona State	Jackie Robinson Stadium	6-1	M. Kelly (9-0)	T. Bauer (6-3)	B. Rodgers (3)	1725	30–9	7–7
40	May 2	Arizona State	Jackie Robinson Stadium	12-3	J. Borup (9-1)	R. Rasmussen (6-2)	None	1921	30–10	7–8
41	May 4	Pepperdine	Eddy D. Field Stadium	5-1	G. Claypool (7-1)	R. Dickmann (6-4)	None	261	31–10	7–8
42	May 7	Washington	Husky Ballpark	7-2	G. Cole (7-2)	G. Brown (1-4)	None	485	32–10	8–8
43	May 8	Washington	Husky Ballpark	14-6	T. Bauer (7-3)	A. Kittredge (6-4)	D. Klein (9)	716	33–10	9–8
44	May 9	Washington	Husky Ballpark	7-6	R. Rasmussen (7-2)	F. Snow (4-2)	None	562	34–10	10–8
45	May 11	UC Irvine	Cicerone Field	2-1	N. Hoover (2-0)	G. Claypool (7-2)	E. Brock (1)	1172	34–11	10–8
46	May 14	USC	Jackie Robinson Stadium	13-7	G. Cole (8-2)	B. Mount (5-4)	None	1707	35–11	11–8
47	May 15	USC	Jackie Robinson Stadium	15-2	T. Bauer (8-3)	C. Mezger (4-1)	None	1360	36–11	12–8
48	May 16	USC	Jackie Robinson Stadium	2-1	D. Klein (4-0)	C. Smith (4-6)	None	1531	37–11	13–8
49	May 18	UC Santa Barbara	Jackie Robinson Stadium	6-2	G. Claypool (8-2)	N. Capito (4-6)	None	587	38–11	13–8
50	May 21	California	Evans Diamond	8-7	D. Klein (5-0)	M. Flemer (2-3)	None	417	39–11	14–8
51	May 22	California	Evans Diamond	12-4	T. Bauer (9-3)	D. Anderson (4-3)	None	534	40–11	15–8
52	May 23	California	Evans Diamond	11-2	R. Rasmussen (8-2)	J. Jones (9-5)	None	737	41–11	16–8
53	May 25	Cal State Fullerton	Goodwin Field	5-2	No. Ramirez (9-1)	G. Claypool (8-3)	Ni. Ramirez (9)	2376	41–12	16–8
54	May 28	Washington State	Jackie Robinson Stadium	6-1	G. Cole (9-2)	C. Arnold (5-3)	None	1006	42–12	17–8
55	May 29	Washington State	Jackie Robinson Stadium	6-4	S. Harvey (3-1)	M. Grace (0-1)	A. Conley (11)	1170	42–13	17–9
