Date	Opponent	Score	Loss	Record
August 1	Orioles	7 - 3	Key (9-7)	55-49
August 2	Orioles	5 - 2	Clancy (12-6)	55-50
August 3	Orioles	6 - 4	Flanagan (5-7)	56-50
August 4	Orioles	12 - 2	Johnson (1-1)	56-51
August 5	Royals	8 - 6	Lamp (2-6)	56-52
August 6	Royals	8 - 0	Jackson (6-8)	57-52
August 7	Royals	5 - 4	Farr (7-3)	58-52
August 8	@ Rangers	9 - 7	Eichhorn (8-4)	58-53
August 9	@ Rangers	7 - 6 (10)	Caudill (2-4)	58-54
August 10	@ Rangers	8 - 7 (10)	Williams (8-4)	59-54
August 11	@ Orioles	3 - 1	Key (10-8)	59-55
August 12	@ Orioles	3 - 0	McGregor (8-11)	60-55
August 13	@ Orioles	7 - 6 (13)	Aquino (0-1)	60-56
August 15	Rangers	6 - 1	Correa (7-10)	61-56
August 16	Rangers	13 - 1	Hough (9-8)	62-56
August 17	Rangers	8 - 7 (11)	Russell (4-2)	63-56
August 19	White Sox	5 - 1	Cowley (8-8)	64-56
August 20	White Sox	4 - 1	DeLeón (3-2)	65-56
August 21	White Sox	4 - 3	Key (11-9)	65-57
August 22	@ Twins	4 - 3	Clancy (13-7)	65-58
August 23	@ Twins	7 - 4	Smithson (9-12)	66-58
August 24	@ Twins	7 - 5 (10)	Atherton (5-8)	67-58
August 26	@ Indians	6 - 6 (9)	Postponed (rain) Rescheduled for August 27	67-58
August 27	@ Indians	3 - 2 (12)	Oelkers (2-3)	68-58
August 27	@ Indians	6 - 3	Wills (1-2)	69-58
August 28	@ Indians	9 - 1	Schrom (11-6)	70-58
August 29	Twins	6 - 5	Atherton (5-10)	71-58
August 30	Twins	8 - 1	Viola (13-10)	72-58
August 31	Twins	7 - 5	Anderson (3-5)	73-58
