Place	Player	Country	Score	To par	Money ( $ )
1	Gene Sarazen	United States	74-76-70-66=286	+6	1,000
T2	Bobby Cruickshank	Scotland	78-74-69-68=289	+9	700
T2	Philip Perkins	England	76-69-74-70=289	+9	700
4	Leo Diegel	United States	73-74-73-74=294	+14	500
5	Wiffy Cox	United States	80-73-70-72=295	+15	450
6	José Jurado	Argentina	74-71-75-76=296	+16	350
T7	Billy Burke	United States	75-77-74-71=297	+17	175
T7	Harry Cooper	England United States	77-73-73-74=297	+17	175
T7	Olin Dutra	United States	69-77-75-76=297	+17	175
10	Walter Hagen	United States	75-73-79-71=298	+18	100
