Title	Series	Director	Production Num.	Release date
The Lone Stranger and Porky	LT	Bob Clampett	8743	1939-01-07
Dog Gone Modern	MM	Chuck Jones	8745	1939-01-14
Hamateur Night	MM	Tex Avery	8685	1939-01-28
It's an Ill Wind	LT	Ben Hardaway, Cal Dalton	8684	1939-01-28
Robin Hood Makes Good	MM	Chuck Jones	8751	1939-02-11
Porky's Tire Trouble	LT	Bob Clampett	8750	1939-02-18
Gold Rush Daze	MM	Ben Hardaway, Cal Dalton	8749	1939-02-25
A Day at the Zoo	MM	Tex Avery	8747, BR 1308	1939-03-11
Porky's Movie Mystery	LT	Bob Clampett	8752	1939-03-11
Prest-O Change-O	MM	Chuck Jones	8833	1939-03-25
Chicken Jitters	LT	Bob Clampett	8860	1939-04-01
Bars and Stripes Forever	MM	Ben Hardaway, Cal Dalton	8835	1939-04-08
Daffy Duck and the Dinosaur	MM	Chuck Jones	8839	1939-04-22
Porky and Teabiscuit	LT	Ben Hardaway, Cal Dalton	8864	1939-04-22
Thugs with Dirty Mugs	MM	Tex Avery	8753	1939-05-06
Kristopher Kolumbus, Jr.	LT	Bob Clampett	8862	1939-05-13
Naughty But Mice	MM	Chuck Jones	8861	1939-05-20
Hobo Gadget Band	MM	Ben Hardaway, Cal Dalton	8859	1939-05-27
Polar Pals	LT	Bob Clampett	8922	1939-06-03
Scalp Trouble	LT	Bob Clampett	8924	1939-06-24
Believe It or Else	MM	Tex Avery	8837	1939-06-25
Old Glory	MM	Chuck Jones	9239, BR 1363	1939-07-01
Dangerous Dan McFoo	MM	Tex Avery	8863	1939-07-15
Porky's Picnic	LT	Bob Clampett	8926	1939-07-15
Snowman's Land	MM	Chuck Jones	8925	1939-07-29
Wise Quacks	LT	Bob Clampett	8928	1939-08-05
Hare-um Scare-um	MM	Ben Hardaway, Cal Dalton	8923	1939-08-12
Detouring America	MM	Tex Avery	8927	1939-08-26
Porky's Hotel	LT	Bob Clampett	9098	1939-08-26
Little Brother Rat	MM	Chuck Jones	8931	1939-09-02
Sioux Me	MM	Ben Hardaway, Cal Dalton	8929, BR 1235 (not on Screen)	1939-09-09
Jeepers Creepers	LT	Bob Clampett	9100	1939-09-23
Land of the Midnight Fun	MM	Tex Avery	9097	1939-09-23
Little Lion Hunter	MM	Chuck Jones	9105	1939-10-07
Naughty Neighbors	LT	Bob Clampett	9102	1939-10-07
The Good Egg	MM	Chuck Jones	9099	1939-10-21
Fresh Fish	MM	Tex Avery	9161	1939-11-04
Pied Piper Porky	LT	Bob Clampett	9104	1939-11-04
Fagin's Freshman	MM	Ben Hardaway, Cal Dalton	9101, BR 1226	1939-11-18
Porky the Giant Killer	LT	Ben Hardaway, Cal Dalton	9106	1939-11-18
Sniffles and the Bookworm	MM	Chuck Jones	9197, BR 1251	1939-12-02
Screwball Football	MM	Tex Avery	9155	1939-12-16
The Film Fan	LT	Bob Clampett	9156	1939-12-16
The Curious Puppy	MM	Chuck Jones	9157	1939-12-30
