No. in series	No. in season	Title	Director	Writer(s)	Original air date	Production code	U.S. viewers (million)
45	1	" Wait for It "	Pamela Fryman	Carter Bays & Craig Thomas	September24,2007	3ALH01	8.12
46	2	" We're Not from Here "	Pamela Fryman	Chris Harris	October1,2007	3ALH02	7.88
47	3	" Third Wheel "	Pamela Fryman	David Hemingson	October8,2007	3ALH04	7.96
48	4	" Little Boys "	Rob Greenberg	Kourtney Kang	October15,2007	3ALH03	7.71
49	5	" How I Met Everyone Else "	Pamela Fryman	Gloria Calderon Kellett	October22,2007	3ALH05	8.50
50	6	" I'm Not That Guy "	Pamela Fryman	Jonathan Groff	October29,2007	3ALH06	8.55
51	7	" Dowisetrepla "	Pamela Fryman	Brenda Hsueh	November5,2007	3ALH07	8.77
52	8	" Spoiler Alert "	Pamela Fryman	Stephen Lloyd	November12,2007	3ALH08	8.58
53	9	" Slapsgiving "	Pamela Fryman	Matt Kuhn	November19,2007	3ALH09	8.06
54	10	" The Yips "	Pamela Fryman	Jamie Rhonheimer	November26,2007	3ALH10	7.91
55	11	" The Platinum Rule "	Pamela Fryman	Carter Bays & Craig Thomas	December10,2007	3ALH11	8.49
56	12	" No Tomorrow "	Pamela Fryman	Carter Bays & Craig Thomas	March17,2008	3ALH12	9.73
57	13	" Ten Sessions "	Pamela Fryman	Chris Harris, Carter Bays & Craig Thomas	March24,2008	3ALH14	10.67
58	14	" The Bracket "	Pamela Fryman	Joe Kelly	March31,2008	3ALH13	9.50
59	15	" The Chain of Screaming "	Pamela Fryman	Carter Bays & Craig Thomas	April14,2008	3ALH15	7.99
60	16	" Sandcastles in the Sand "	Pamela Fryman	Kourtney Kang	April21,2008	3ALH16	8.45
61	17	" The Goat "	Pamela Fryman	Stephen Lloyd	April28,2008	3ALH17	8.84
62	18	" Rebound Bro "	Pamela Fryman	Jamie Rhonheimer	May5,2008	3ALH18	8.36
63	19	" Everything Must Go "	Pamela Fryman	Jonathan Groff & Chris Harris	May12,2008	3ALH19	8.93
