Series #	Season #	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (millions)
145	1	"Day 7: 8:00 a.m.– 9:00 a.m."	Jon Cassar	Howard Gordon , Joel Surnow & Michael Loceff	January11,2009	7AFF01	12.61
147	3	"Day 7: 10:00 a.m.– 11:00 a.m."	Brad Turner	Manny Coto & Brannon Braga	January12,2009	7AFF03	12.31
148	4	"Day 7: 11:00 a.m.– 12:00 p.m."	Brad Turner	David Fury & Alex Gansa	January12,2009	7AFF04	12.31
149	5	"Day 7: 12:00 p.m.– 1:00 p.m."	Jon Cassar	Howard Gordon & Evan Katz	January19,2009	7AFF05	12.10
150	6	"Day 7: 1:00 p.m.– 2:00 p.m."	Jon Cassar	Manny Coto & Brannon Braga	January26,2009	7AFF06	12.22
153	9	"Day 7: 4:00 p.m.– 5:00 p.m."	Milan Cheylov	David Fury	February16,2009	7AFF09	11.22
154	10	"Day 7: 5:00 p.m.– 6:00 p.m."	Milan Cheylov	Manny Coto & Brannon Braga	February23,2009	7AFF10	11.68
155	11	"Day 7: 6:00 p.m.– 7:00 p.m."	Brad Turner	Alex Gansa	March2,2009	7AFF11	11.140
157	13	"Day 7: 8:00 p.m.– 9:00 p.m."	Brad Turner	Manny Coto & Brannon Braga	March9,2009	7AFF13	11.37
158	14	"Day 7: 9:00 p.m.– 10:00 p.m."	Brad Turner	Evan Katz & Juan Carlos Coto	March16,2009	7AFF14	11.36
159	15	"Day 7: 10:00 p.m.– 11:00 p.m."	Jon Cassar	Story: David Fury Teleplay: Alex Gansa	March23,2009	7AFF15	10.37
160	16	"Day 7: 11:00 p.m.– 12:00 a.m."	Jon Cassar	Manny Coto & Brannon Braga	March30,2009	7AFF16	11.27
161	17	"Day 7: 12:00 a.m.– 1:00 a.m."	Brad Turner	Chip Johannessen	April6,2009	7AFF17	10.96
163	19	"Day 7: 2:00 a.m.– 3:00 a.m."	Michael Klick	David Fury	April20,2009	7AFF19	10.34
165	21	"Day 7: 4:00 a.m.– 5:00 a.m."	Brad Turner	Manny Coto & Brannon Braga	May4,2009	7AFF21	10.11
166	22	"Day 7: 5:00 a.m.– 6:00 a.m."	Brad Turner	Evan Katz	May11,2009	7AFF22	9.79
