Week	Date	Opponent	Result	Attendance
1	September 12, 1976	San Diego Chargers	L 30–16	53,133
2	September 20, 1976	Oakland Raiders	L 24–21	60,884
3	September 26, 1976	New Orleans Saints	L 27–17	53,918
4	October 3, 1976	at Buffalo Bills	L 50–17	51,909
5	October 10, 1976	at Washington Redskins	W 33–30	53,060
6	October 17, 1976	at Miami Dolphins	W 20–17	43,325
7	October 24, 1976	Denver Broncos	L 35–26	57,961
8	October 31, 1976	at Tampa Bay Buccaneers	W 28–19	41,779
9	November 7, 1976	Pittsburgh Steelers	L 45–0	71,516
10	November 14, 1976	at Oakland Raiders	L 21–10	48,259
11	November 21, 1976	Cincinnati Bengals	L 27–24	46,259
12	November 28, 1976	at San Diego Chargers	W 23–20	29,272
13	December 5, 1976	at Denver Broncos	L 17–16	58,170
14	December 12, 1976	Cleveland Browns	W 39–14	34,340
