Rank	Title	Studio	Director	Gross
1.	E.T. the Extra-Terrestrial	Universal	Steven Spielberg	$435,110,554
2.	Tootsie	Columbia	Sydney Pollack	$177,200,000
3.	An Officer and a Gentleman	Paramount / Lorimar	Taylor Hackford	$129,795,554
4.	Rocky III	United Artists	Sylvester Stallone	$125,049,125
5.	Porky's	20th Century Fox	Bob Clark	$109,492,484
6.	Star Trek II: The Wrath of Khan	Paramount	Nicholas Meyer	$79,912,963
7.	48 Hrs.	Paramount	Walter Hill	$78,868,508
8.	Poltergeist	MGM	Tobe Hooper	$76,606,280
9.	The Best Little Whorehouse in Texas	Universal / RKO	Colin Higgins	$69,701,637
10.	Annie	Columbia / Rastar	John Huston	$57,059,003
11.	The Verdict	20th Century Fox	Sidney Lumet	$53,977,250
12.	Gandhi	Columbia	Richard Attenborough	$52,767,889
13.	First Blood	Orion / Carolco	Ted Kotcheff	$47,212,904
14.	The Toy	Columbia	Richard Donner	$47,118,057
15.	Firefox	Warner Bros.	Clint Eastwood	$46,708,276
16.	The Dark Crystal	Universal	Jim Henson and Frank Oz	$40,577,001
17.	Conan the Barbarian	Universal	John Milius	$39,565,475
18.	The Sword and the Sorcerer	Group 1	Albert Pyun	$39,103,425
19.	Best Friends	Warner Bros.	Norman Jewison	$36,821,203
20.	Richard Pryor: Live on the Sunset Strip	Columbia	Joe Layton	$36,299,720
