Track	Song	Author	Worship Leader	Lead Supporting Vocal	Time
1	Your Name High	Joel Houston	Joel Houston	Annie Garratt	3:55
2	Run	Joel Houston	Joel Houston	Annie Garratt	3:20
3	Desert Song	Jill McCloghry	Brooke Fraser & Jill McCloghry	None	4:11
4	This Is Our God	Reuben Morgan	Reuben Morgan	Jill McCloghry	5:48
5	He Is Lord	Ben Fielding	Annie Garratt	Marcus Temu	4:54
6	High And Lifted Up	Darlene Zschech & Mike Guglielmucci	Darlene Zschech	None	4:37
7	Stronger	Reuben Morgan & Ben Fielding	Jad Gillies	Darlene Zschech	4:26
8	Healer	Mike Guglielmucci	Darlene Zschech & Mike Guglielmucci	Joel Houston	7:05
9	You Are Here (The Same Power)	Dave George & Grant Pankratz	Joel Houston & Darlene Zschech	None	2:51
10	You Deserve	Matt Crocker & James Dunlop	Sam Knock	Jonathon Douglass & Annie Garratt	4:37
11	Across The Earth	Reuben Morgan & Matt Crocker	Matt Crocker	Annie Garratt	4:29
12	Where We Belong	Reuben Morgan & Joel Davies	Joel Davies	None	5:32
13	Sing To The Lord	Mike Guglielmucci & Matt Crocker	Marty Sampson	Reuben Morgan & Brooke Fraser	6:43
14	You'll Come	Brooke Fraser	Darlene Zschech & Brooke Fraser	Joel Houston	5:04
15	Turn Your Eyes Upon Jesus	Traditional	Brooke Fraser	None	1:45
16	With Everything	Joel Houston	Joel Houston	Darlene Zschech	7:55
