Division	Drawn	Lost	Points	League Pos
Division Four	13	18	43	20th
Division Four	14	15	48	10th
Division Four	17	9	57	3rd
Division Three	9	24	35	21st
Division Four	14	12	54	6th
Division Four	15	17	43	13th
Division Four	13	7	65	1st
Division Three	12	11	58	2nd
Division Two	16	14	40	12th
Division Two	16	12	44	8th
Division Two	6	19	40	13th
Division Two	9	20	48	14th
Division Two	12	17	51	12th
Division Two	12	26	24	22nd
Division Three	9	26	21	24th
Division Four	9	22	54	22nd
Division Four	11	10	62	11th
Division Four	13	17	61	15th
Division Four	12	14	68	8th
Division Four	10	15	73	6th
Division Three	11	10	86	1st
Division Two	17	10	74	5th
Division Two	9	18	66	10th
Division Two	15	20	48	20th
Division Three	12	20	54	16th
Division Three	11	17	65	10th
Division Three	18	14	60	16th
Division Three	12	11	81	2nd
Division Two	12	22	48	19th
Division Two	11	21	53	19th
Division Two	13	26	34	24th
Division Three	13	17	61	12th
Division Three	14	18	56	13th
League Two	16	22	30	24th
Conference	10	17	55	12th
Conference	10	21	55	17th
Conference	11	10	86	2nd
Conference	14	8	86	2nd
Conference	14	15	86	10th
Conference	17	18	50	17th
Conference	14	13	71	9th
Conference	14	17	59	14th
