Round	Pick	Player	Pos.	Nationality	Team	School/club team
1	1	Bob Lanier Category:Articles with hCards ^	C	United States	Detroit Pistons	St. Bonaventure
1	2	Rudy Tomjanovich Category:Articles with hCards +	F	United States	San Diego Rockets	Michigan
1	3	Pete Maravich Category:Articles with hCards ^	G	United States	Atlanta Hawks (from San Francisco ) [a ]	Louisiana State
1	4	Dave Cowens Category:Articles with hCards ^	F/C	United States	Boston Celtics	Florida State
1	5	Sam Lacey Category:Articles with hCards +	C	United States	Cincinnati Royals	New Mexico State
1	6	Jim Ard Category:Articles with hCards	F/C	United States	Seattle SuperSonics	Cincinnati
1	7	John Johnson Category:Articles with hCards +	F	United States	Cleveland Cavaliers	Iowa
1	8	Geoff Petrie Category:Articles with hCards +	G	United States	Portland Trail Blazers	Princeton
1	9	George E. Johnson Category:Articles with hCards	C	United States	Baltimore Bullets (from Buffalo ) [b ]	Stephen F. Austin
1	10	Greg Howard Category:Articles with hCards	F/C	United States	Phoenix Suns	Brill Cagliari ( Italy )
1	11	Jimmy Collins Category:Articles with hCards	G	United States	Chicago Bulls	New Mexico State
1	12	Al Henry Category:Articles with hCards	C	United States	Philadelphia 76ers	Wisconsin
1	13	Jim McMillian Category:Articles with hCards	F	United States	Los Angeles Lakers	Columbia
1	14	John Vallely Category:Articles with hCards	G	United States	Atlanta Hawks	UCLA
1	15	John Hummer Category:Articles with hCards	F/C	United States	Buffalo Braves (from Baltimore ) [b ]	Princeton
1	16	Gary Freeman Category:Articles with hCards	F	United States	Milwaukee Bucks	Oregon State
1	17	Mike Price Category:Articles with hCards	G	United States	New York Knicks	Illinois
2	18	Calvin Murphy Category:Articles with hCards ^	G	United States	San Diego Rockets	Niagara
2	19	Nate Archibald Category:Articles with hCards ^	G	United States	Cincinnati Royals (from San Francisco ) [c ]	Texas-El Paso
2	20	Jake Ford Category:Articles with hCards	G	United States	Seattle SuperSonics (from Detroit ) [d ]	Maryland State
2	21	Rex Morgan Category:Articles with hCards	G	United States	Boston Celtics	Jacksonville
2	22	Doug Cook Category:Articles with hCards #	F	United States	Cincinnati Royals	Davidson
2	23	Pete Cross Category:Articles with hCards	F/C	United States	Seattle SuperSonics	San Francisco
2	24	Cornell Warner Category:Articles with hCards	F/C	United States	Buffalo Braves	Jackson State
2	25	Walt Gilmore Category:Articles with hCards	F	United States	Portland Trail Blazers	Fort Valley State
2	26	Dave Sorenson Category:Articles with hCards	F	United States	Cleveland Cavaliers	Ohio State
2	27	Fred Taylor Category:Articles with hCards	G/F	United States	Phoenix Suns	Pan American
2	28	Paul Ruffner Category:Articles with hCards	F/C	United States	Chicago Bulls	Brigham Young
2	29	Joe DePre Category:Articles with hCards #	G	United States	Phoenix Suns (from Philadelphia ) [e ]	St. John's
2	30	Earnie Killum Category:Articles with hCards	G	United States	Los Angeles Lakers	Stetson
2	31	Dan Hester Category:Articles with hCards #	F	United States	Atlanta Hawks	Louisiana State
2	32	Ken Warzynski Category:Articles with hCards #	F	United States	Detroit Pistons (from Baltimore ) [f ]	DePaul
2	33	Bill Zopf Category:Articles with hCards	G	United States	Milwaukee Bucks	Duquesne
2	34	Howie Wright Category:Articles with hCards #	G	United States	New York Knicks	Austin Peay
