No.	Episode	Air Date	Timeslot	Rating	Share	18–49 (Rating/Share)	Viewers (m)	Rank (#)
1	" Pilot "	2007-09-25 September 25, 2007	Tuesday 9/8c	2.1	3	1.5/3	3.28	85
2	" Charged "	2007-10-02 October 2, 2007	Tuesday 9/8c	1.8	3	1.3/3	2.86	93
3	" All Mine "	2007-10-09 October 9, 2007	Tuesday 9/8c	1.8	3	1.3/3	2.65	90
4	" Magic "	2007-10-16 October 16, 2007	Tuesday 9/8c	2.2	3	1.5/3	3.27	86
5	" What About Blob "	2007-10-23 October 23, 2007	Tuesday 9/8c	1.8	3	1.2/3	2.61	88
6	" Leon "	2007-10-30 October 30, 2007	Tuesday 9/8c	1.7	3	1.1/3	2.60	89
7	" Love, Bullets and Blacktop "	2007-11-06 November 6, 2007	Tuesday 9/8c	1.6	2	1.0/2	2.42	94
8	" The Cop "	2007-11-13 November 13, 2007	Tuesday 9/8c	1.6	2	1.2/2	2.46	93
9	" Ashes to Ashes "	2007-11-27 November 27, 2007	Tuesday 9/8c	1.5	2	1.1/2	2.26	91
10	" Cash Out "	2007-12-04 December 4, 2007	Tuesday 9/8c	1.7	3	1.3/3	2.64	89
11	" Hungry for Fame "	2008-03-13 March 13, 2008	Thursday 9/8c	1.7	3	1.2/3	2.81	88
12	" Unseen "	2008-03-20 March 20, 2008	Thursday 9/8c	1.9	3	1.2/3	2.94	79
13	" Acid Queen "	2008-03-27 March 27, 2008	Thursday 9/8c	1.8	3	1.2/2	2.76	81
14	" Rebellion "	2008-04-22 April 22, 2008	Tuesday 9/8c	1.6	2	1.1/3	2.60	93
15	" Coming to Grips "	2008-04-29 April 29, 2008	Tuesday 9/8c	1.7	3	1.1/3	2.51	86
16	" Greg Schmeg "	2008-05-06 May 6, 2008	Tuesday 9/8c	1.6	2	1.0/3	2.47	TBA
17	" The Leak "	2008-05-13 May 13, 2008	Tuesday 9/8c	1.5	2	0.9/2	1.99	TBA
