No	Player	Height	Position	Year born	Current Club
4	Pau Gasol	2.13	Center	1980	Memphis Grizzlies
5	Rudy Fernández	1.96	Guard	1985	DKV Joventut
6	Carlos Cabezas	1.86	Guard	1980	Unicaja Málaga
7	Juan Carlos Navarro	1.92	Guard	1980	Memphis Grizzlies
8	José Calderón	1.91	Guard	1981	Toronto Raptors
9	Felipe Reyes	2.06	Center	1980	Real Madrid
10	Carlos Jiménez	2.05	Forward	1976	Unicaja Málaga
11	Sergio Rodríguez	1.91	Guard	1986	Portland Trail Blazers
12	Berni Rodríguez	1.97	Guard	1980	Unicaja Málaga
13	Marc Gasol	2.16	Center	1985	Akasvayu Girona
14	Àlex Mumbrú	2.02	Forward	1979	Real Madrid
